名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path
錢來之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格的钱来之山，山势雄伟壮观，云雾缭绕，山顶有古木参天，山间溪流潺潺，瀑布飞泻而下，山脚下有古老的村落，村民们在田间劳作，远处群山连绵起伏，画面充满神秘与宁静之美。,地名\山名\錢來之山.png
乾昧,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 乾昧山，古老而神秘的山脉，云雾缭绕，峰峦叠嶂。山中古木参天，藤蔓缠绕，瀑布飞泻，溪流潺潺。山脚下有古老的村落，村民们穿着传统服饰，祭祀着山神。整幅画面采用彩色水墨风格，展现出浓厚的传统中国美学。,地名\山名\乾昧.png
譙明之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"譙水出焉,有獸焉,無草木,多青雄黄,",prompt: 譙明之山，山中无草木，多青雄黄，譙水从山中流出，山中有一奇异兽类栖息。请以古代插画风格和传统中国美学的彩色水墨风格描绘此景，画面中要突出山体的险峻与矿物的色彩，以及流淌的譙水和神秘的野兽。,地名\山名\譙明之山.png
白水山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"白水出焉,",prompt: 白水山，山势雄伟，云雾缭绕，一条清澈的白水从山中流出，汇入下方的河流。山体覆盖着茂密的古树和奇花异草，山间有几只仙鹤飞翔，远处可见几座古老的庙宇隐于山林之中。画面采用传统中国美学的彩色水墨风格，色彩淡雅，意境深远。,地名\山名\白水山.png
半石之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上有草焉,來需之水出于其陽,合水出于其隂,",prompt: 半石之山，其上有草焉，來需之水出于其陽，合水出于其隂。画面中，半石之山矗立于天地之间，山体由岩石和植被交织而成，山顶云雾缭绕。山的阳面有一条清澈的溪流潺潺流出，名为“來需之水”，水边生长着各种奇花异草，色彩斑斓。山的阴面则有另一条溪流蜿蜒而出，名为“合水”，溪流旁树木葱郁，古木参天。整个画面采用传统中国美学的彩色水墨风格，展现出一种宁静而神秘的自然之美。,地名\山名\半石之山.png
白石之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"惠水出于其陽,澗水出于其隂,其中多麋石櫨丹,",prompt: 一座雄伟的白石之山，山体由洁白如玉的石头构成，阳光照耀下熠熠生辉。山的阳面有一条清澈见底的惠水蜿蜒而下，水流潺潺，波光粼粼；山的阴面则有涧水从幽深的山谷中流出，水质清冽，凉爽宜人。山间遍布着各种奇石，其中以麋石最为珍贵，这种石头形状奇特，表面光滑细腻，色泽斑斓。山中还生长着许多櫨树和丹木，櫨树高大挺拔，枝叶繁茂，果实累累；丹木则色彩鲜艳，花朵如同燃烧的火焰，与山中的白色石头形成鲜明对比。整幅画面采用传统中国美学的彩色水墨风格，展现出一种宁静而神秘的自然之美。,地名\山名\白石之山.png
不死之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"流沙之東,黒水之間,",prompt: 一座神秘的不死之山，位于流沙之东，黑水之间，山峰高耸入云，山顶被云雾缭绕。山体上覆盖着翠绿的植被，瀑布从山间飞泻而下，汇入下方的黑水之中。山脚下有古老的树木和奇花异草，散发出淡淡的光芒。远处是茫茫沙漠，与山间的绿意形成鲜明对比。整幅画面采用传统中国美学的彩色水墨风格，展现出一种古老而神秘的氛围。,地名\山名\不死之山.png
不庭之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"大荒之中有不庭之山,榮水窮焉,有人三身,",prompt: 大荒之中有一座不庭之山，荣水在这里干涸。山中有一位三身人，画面采用古代插画风格和传统中国美学的彩色水墨风格，展现出神秘而古老的氛围。背景是苍茫的大荒之地，远处群山若隐若现，近处的不庭之山巍峨耸立，山石嶙峋。山脚下，一条蜿蜒曲折的河流逐渐消失在沙土中，象征着荣水的干涸。画面中央是一位奇特的三身人，三个身体共享一个头部，身穿古朴的服饰，面容庄重而神秘，仿佛守护着这片古老的土地。周围点缀着一些奇异的植物和动物，增添了几分神秘感。,地名\山名\不庭之山.png
賁聞之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多蒼玉,其下多黄堊,多涅石,",prompt: 一座名为贲闻之山的古老山脉，山上覆盖着苍翠欲滴的玉石，山脚下则是黄垩和涅石遍布。整座山呈现出一种神秘而古老的氛围，山体轮廓线条流畅，色彩以青绿色为主，点缀着黄色和黑色的矿石，宛如一幅精美的彩色水墨画。背景中隐约可见云雾缭绕，增添了几分仙气。,地名\山名\賁聞之山.png
不咸,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"大荒之中,",prompt: 大荒之中的不咸山，山势雄伟，云雾缭绕，山中奇石嶙峋，古木参天。山脚下有清澈的溪流蜿蜒而过，山腰间散布着古老的村落，炊烟袅袅升起。山巅之上有一座古老的庙宇，供奉着山神，周围环绕着各种奇异的花草和珍稀的灵兽。画面采用传统中国美学的彩色水墨风格，展现出一种神秘而宁静的氛围。,地名\山名\不咸.png
北囂之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無石,其陽多碧,其隂多玉,有獸焉,有鳥焉,涔水出焉,",prompt: 北囂之山，一座无石之山，其阳面遍布碧绿植被，阴面则蕴藏丰富玉石资源。山中栖息着奇异的兽类与鸟类，色彩斑斓，形态各异。山脚下有一条名为涔水的河流缓缓流出，清澈见底。整幅画面采用传统中国美学的彩色水墨风格，注重线条流畅和色彩层次感，营造出一种神秘而宁静的氛围。,地名\山名\北囂之山.png
北鮮之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"多馬,鮮水出焉,",prompt: 北鮮之山，山峦层叠，云雾缭绕，山间多马群奔跑，形态各异，生动活泼；鲜水从山中流出，清澈见底，溪流潺潺，沿途花草繁茂，树木葱郁。画面采用传统中国美学的彩色水墨风格，注重意境和气韵的表现，展现出山川之美与自然和谐共生的景象。,地名\山名\北鮮之山.png
青丘之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其陽多玉,其隂多青䨼,有獸焉,有鳥焉,英水出焉,",prompt: 青丘之山，其阳多玉，其阴多青雘，有兽焉，有鸟焉，英水出焉。请描绘一座充满神秘色彩的青丘之山，山体雄伟壮观，阳光照射下，山阳面闪烁着璀璨的玉石光泽，而山阴面则覆盖着深邃的青雘矿石。山中栖息着各种奇异的神兽和灵鸟，它们或飞翔于空中，或穿梭于林间。一条清澈的英水从山中流出，环绕山脚，形成一幅和谐宁静的画面。整幅画面采用传统中国美学的彩色水墨风格，细腻地展现出山川之美与自然之灵。,地名\山名\青丘之山.png
求如之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多銅,其下多玉,無草木,滑水出焉,",prompt: 求如之山，山体雄伟壮观，山顶覆盖着丰富的铜矿，山脚下则遍布珍贵的玉石。山上没有草木生长，显得格外荒凉。滑水从山中流出，清澈见底。画面采用古代插画风格，以传统中国美学的彩色水墨技法描绘，展现出山的神秘与壮丽。,地名\山名\求如之山.png
綦山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，綦山，山势雄伟，云雾缭绕，山间有古木参天，溪流潺潺，山脚下的村落宁静祥和，远处可见群山连绵，画面中融入古代插画风格，展现出一种神秘而宁静的氛围。,地名\山名\綦山.png
求山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"求水出于其上,其木多苴多䉋,其陽多金,其隂多鐵,",prompt: 求山，这座神秘的山脉上流淌着清澈的求水，山上长满了茂密的苴树和䉋草。山的阳面蕴藏着丰富的金矿，而阴面则富含铁矿。请以古代插画风格和传统中国美学的彩色水墨风格描绘这座山，展现其自然之美与矿藏之富饶。背景中可以加入一些采掘矿石的古人形象，以及山间流淌的清澈溪流，树木和草丛要细致描绘，突出苴树和䉋草的特点。,地名\山名\求山.png
歧山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其木多桃李,其獸多虎,",prompt: 古风山水画，歧山，山间遍布桃树和李树，花开烂漫，色彩斑斓，山脚下有几只老虎在悠闲地漫步，画面采用传统中国彩色水墨风格，注重意境与自然的和谐统一，背景为远山和云雾缭绕。,地名\山名\歧山.png
乾山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無草木,其陽有金玉,其隂有鐵,無水,有獸焉,",prompt: 乾山，一座无草木覆盖的神秘山脉，其阳面蕴藏金玉之矿，阴面则富含铁矿，山中无水源。山中有奇异兽类栖息，整体画面采用古代插画风格，传统中国美学的彩色水墨技法，展现出山体峻峭、矿物丰富的特点，以及在山间活动的神秘野兽形象。背景以淡雅的水墨渲染出山峦起伏，前景则用细腻的笔触勾勒出金玉与铁矿的质感，兽类形态独特，毛色斑斓，与周围环境形成鲜明对比。,地名\山名\乾山.png
前山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其木多櫧,多栢,其陽多金,其隂多赭,",prompt: 一座名为前山的山脉，其上树木繁茂，多为櫧树和栢树，阳光照耀的一面金矿丰富，而背阴的一面则盛产赭石。请以古代插画风格和传统中国美学的彩色水墨风格描绘这座充满自然与矿藏之美的山峦。,地名\山名\前山.png
欽山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"多金玉,無石,師水出焉,有獸焉,",prompt: 欽山，多金玉之地，無石之山，師水潺潺流淌而出，山中藏有神秘獸類，畫面呈現出古樸而神秘的氛圍，色彩以淡雅的青綠色為主，輔以金色和白色點綴，山巒層疊，雲霧繚繞，師水蜿蜒曲折，清澈見底，山中野獸隱約可見，整體風格參考古代插畫和傳統中國彩色水墨風格。,地名\山名\欽山.png
歧山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多白金,其下多鐵,其木多梅梓多杻楢,減水出焉,",prompt: 古代中国山景，歧山，山上覆盖着银白色的矿石，山脚下是铁矿的丰富地带，山林中梅树和梓树茂盛，还有许多杻树和楢树交织其间，一条清澈的减水从山中流出，画面采用传统中国美学的彩色水墨风格，注重细节描绘和自然景观的和谐统一。,地名\山名\歧山.png
歧山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其陽多赤金,其隂多白珉,其上多金玉,其下多青䨼,其木多樗,神渉𧕦處之,",prompt: 古风山水画，歧山雄伟壮丽，山阳面金光闪闪，赤金遍布；山阴面洁白如雪，白珉熠熠生辉。山顶覆盖着金色的矿石和璀璨的玉石，山脚下则是青色的云雾缭绕。山上生长着茂密的樗树，神灵渉𧕦居住于此，画面中隐约可见神灵的身影，整体风格采用传统中国美学的彩色水墨风格，色彩丰富而和谐，线条流畅自然，富有古韵。,地名\山名\歧山.png
鈐山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多銅,其下多玉,其木多杻橿,",prompt: 古典中国山水画风格，鈐山，山体雄伟壮观，山上多铜矿，山下多玉石，山中树木以杻橿为主，色彩采用传统水墨色调，画面充满神秘与古朴的气息。,地名\山名\鈐山.png
窮山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一座古老而神秘的穷山，山势险峻，云雾缭绕。山体覆盖着茂密的古木，山脚下有清澈的小溪流淌。画面采用传统中国美学的彩色水墨风格，山石用墨色勾勒，树木和云雾则以淡雅的色彩渲染，整个画面充满诗意与宁静。,地名\山名\窮山.png
區吴之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其木多苴,",prompt: 一座名为区吴之山的古老山脉，山上树木繁茂，以苴树为主，树叶浓绿，枝干挺拔。画面采用传统中国美学的彩色水墨风格，展现出山间自然之美与古朴宁静的氛围。背景中隐约可见远处连绵起伏的群山，增添几分神秘感。,地名\山名\區吴之山.png
區吴之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無草木,多砂石,鹿水出焉,",prompt: 古典中国山水画风格，区吴之山，山体裸露无植被，多砂石覆盖，鹿水从山间流出，画面以淡墨勾勒山石轮廓，用浓淡不一的水墨渲染出砂石质感，水流则以细长流畅的线条描绘，整体色调偏冷，表现出山的荒凉与自然之美。,地名\山名\區吴之山.png
漆吴之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無草木,多博石,無玉,處于海,東望丘山,",prompt: 漆吴之山，位于海边，山上无草木覆盖，多有博石散落其间，未见玉石。从山顶向东望去，可以看到远处的丘山轮廓。画面采用传统中国美学的彩色水墨风格，以淡雅的色彩描绘出山石的质感，海浪轻拍岸边，天边云雾缭绕，营造出一种宁静而神秘的氛围。,地名\山名\漆吴之山.png
青要之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"實維帝之宻都,北望河曲,南望墠渚,是多僕纍蒲盧,䰠武羅司之,是山也冝女子,畛水出焉,有草焉,",prompt: 青要之山，实为帝之密都，北望河曲，南望墠渚，山上多僕纍蒲盧，有神武罗司之。此山宜女子居住，畛水从山中流出，山上有奇异草木。画面采用传统中国美学的彩色水墨风格，描绘青要之山的神秘与美丽。山峦层叠，云雾缭绕，山脚下河流蜿蜒流淌。山间点缀着各种奇花异草，色彩斑斓。山顶隐约可见宫殿楼阁，显得庄严肃穆。山中有神灵武罗守护，形象威严而慈祥。整幅画面充满神话气息，展现出古代插画风格的独特魅力。,地名\山名\青要之山.png
去痓,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"南極果北不成去痓果,",prompt: 南极果北不成去痓山，画面中展现一片古老而神秘的山脉，山势险峻，云雾缭绕。山间生长着奇异的南极果，果实晶莹剔透，散发出淡淡的光芒。山脚下，一条清澈的小溪蜿蜒流过，两岸绿树成荫，花鸟繁盛。整个画面采用中国传统水墨画风格，色彩淡雅，线条流畅，富有诗意和古韵。,地名\山名\去痓.png
齊州之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，描绘齐州之山，山峦层叠，云雾缭绕，山间有古木参天，溪流潺潺。山脚下有几处简朴的村落，炊烟袅袅升起，远处群山连绵起伏，天空中几只仙鹤翱翔，展现出一幅宁静祥和的山居图景。,地名\山名\齊州之山.png
跂踵之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"廣貟二百里,無草木,有大蛇,其上多玉,有水焉,有魚焉,",prompt: 广袤二百里的跂踵之山，山上无草木，一条巨大的蛇蜿蜒盘旋在山间。山上有许多玉石，在山脚下的水域中游弋着各种鱼类。画面采用古代插画风格和传统中国美学的彩色水墨风格，展现出神秘而宁静的氛围。,地名\山名\跂踵之山.png
渠豬之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多竹,渠豬之水出焉,",prompt: 渠豬之山，其上多竹，渠豬之水出焉，画面以传统中国美学的彩色水墨风格呈现。山体雄伟挺拔，翠绿的竹林覆盖山顶和山坡，竹叶随风轻轻摇曳，展现出生机勃勃的景象。山脚下，清澈的渠豬之水潺潺流淌，水面波光粼粼，倒映着周围的山景。远处，云雾缭绕，增添了几分神秘感。整幅画面色彩淡雅，线条流畅，充满诗意。,地名\山名\渠豬之山.png
融父山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"大荒之中,順水入焉,",prompt: 大荒之中，顺水缓缓流入融父山，山势雄伟，云雾缭绕，山间古木参天，奇花异草遍布。山脚下，清澈的溪流潺潺流淌，水中游鱼可见。远处，群山连绵起伏，山峦之间云雾缭绕，宛如仙境。整幅画面采用传统中国彩色水墨风格，色彩淡雅，线条流畅，展现出融父山的神秘与壮丽。,地名\山名\融父山.png
仁舉之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其木多榖柞,其陽多赤金,其隂多赭,",prompt: 仁舉之山，山中树木繁茂，多为榖树和柞树，阳光照耀下，山的南面闪烁着赤金色的矿石光芒，而山的北面则遍布赭色的土壤。画面采用传统中国美学的彩色水墨风格，展现出山峦起伏、林木葱郁的景象，色彩以自然柔和为主，注重光影的变化，表现出山的阳面与阴面的不同风貌。,地名\山名\仁舉之山.png
汝山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统山水画风格的汝山，山峦起伏，云雾缭绕，山间溪流潺潺，古木参天，色彩以淡雅的水墨为主，辅以淡彩点缀，展现出一种宁静而神秘的氛围。,地名\山名\汝山.png
若山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多㻬琈之玉,多赭,多邽石,多寓木多柘,",prompt: 一座名为若山的雄伟山脉，山上覆盖着茂密的森林，树木繁茂，其中多有柘树和寓木。山体中蕴藏着丰富的矿藏，包括珍贵的㻬琈之玉、赭石和邽石。整座山呈现出一种神秘而古老的气息，彩墨风格的画作中，山峦起伏，云雾缭绕，阳光透过云层洒在山间，使整个画面充满了诗意与宁静。,地名\山名\若山.png
饒山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無草木,多瑶碧,其獸多槖駝,其鳥多鶹,歴虢之水出焉,",prompt: 饒山，无草木，多瑶碧，其兽多橐驼，其鸟多鶹，歴虢之水出焉。请以古代插画风格和传统中国美学的彩色水墨风格绘制这座神秘的山。画面中，饒山雄伟而荒凉，没有树木花草，但山体上镶嵌着许多美丽的瑶碧宝石。山中有许多橐驼在悠闲地行走，天空中飞翔着各种鶹鸟。山脚下，一条清澈的河流从山中流出，名为歴虢之水。整幅画面色彩淡雅，线条流畅，展现出一种宁静而神秘的氛围。,地名\山名\饒山.png
融天,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"海水南入焉,",prompt: 传统中国美学彩色水墨风格，山海经中的融天山，海水从南边流入山脉，山势雄伟，云雾缭绕，山间有古木参天，飞瀑流泉，远处的海面波光粼粼，近处山石嶙峋，山脚下有几只仙鹤悠闲地漫步，整个画面充满神秘而宁静的气息。,地名\山名\融天.png
日月山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"天樞也,",prompt: 一座巍峨的日月山，位于天地之间，是天枢之地。山体雄伟壮观，山峰直插云霄，仿佛连接着天与地。山顶上，一轮红日和一弯明月交相辉映，光芒四射。山间云雾缭绕，宛如仙境。山脚下，古木参天，溪流潺潺，呈现出一幅和谐宁静的自然画卷。整体风格参考古代插画，采用传统中国美学的彩色水墨风格绘制。,地名\山名\日月山.png
榮余之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多銅,其下多銀,其木多栁芑,其蟲多怪蛇怪蟲,",prompt: 荣余之山，其上多铜矿，其下富含银矿，山上树木以柳树和芑树为主，山中栖息着各种奇异的蛇类和其他怪虫。请以古代中国插画风格为基础，结合传统彩色水墨技法，描绘出荣余之山的神秘景象。画面中央是一座雄伟的山脉，山体呈现出深邃的青绿色，山峰间云雾缭绕，仿佛隐藏着无尽的秘密。山顶上散布着一些铜矿石，闪烁着金色的光芒；山脚下则可见到银色的矿脉在阳光下闪闪发光。山间生长着茂密的柳树和芑树，柳树轻柔地随风摇曳，芑树则展现出一种坚韧的生命力。在树林间，可以隐约看到一些形态各异、色彩斑斓的怪蛇和怪虫，它们或盘踞于树干之上，或穿梭于草丛之间，给整个画面增添了一种神秘而诡异的氛围。整幅画面要体现出荣余之山的独特魅力与神秘感。,地名\山名\榮余之山.png
蜀,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统山水画风格，蜀山巍峨耸立，云雾缭绕，山间古木参天，瀑布飞泻而下，山脚下有几座古朴的村落，炊烟袅袅升起，画面以淡雅的水墨色彩为主，展现出蜀山的神秘与壮丽。,地名\山名\蜀.png
䃌山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 䃌山，一座古老而神秘的山脉，位于古代中国的边陲之地。山势雄伟，云雾缭绕，仿佛与天相接。山中奇石嶙峋，古木参天，溪流潺潺。远处可见几座古老的庙宇和亭台楼阁，掩映在苍翠的树木之中。天空中彩霞满天，夕阳西下，将整座山脉染成一片金黄。画风采用传统中国美学的彩色水墨风格，注重线条流畅和色彩的层次感，表现出一种宁静而庄严的氛围。,地名\山名\䃌山.png
石脆之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其木多㯶枬,其草多條,其陽多㻬琈之玉,其隂多銅,灌水出焉,",prompt：石脆之山，其木多㯶枬，树木郁郁葱葱，枝叶繁茂，树干粗壮，树冠如伞盖；其草多條，草色青翠，随风摇曳，生机勃勃。山的阳面散布着大量美玉，玉石晶莹剔透，散发着柔和的光芒；山的阴面则蕴藏丰富的铜矿，铜矿石呈现出深邃的古铜色。灌水从山中流出，清澈见底，水流潺潺，滋润着山间的植被。整个画面以彩色水墨风格呈现，展现出一种幽静而神秘的自然之美。,地名\山名\石脆之山.png
叔得之丘,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有九丘以水絡之,",prompt: 九座神秘的山丘环绕着清澈的水域，山丘上覆盖着茂密的古木，山石嶙峋，云雾缭绕。整个画面以传统中国彩色水墨风格呈现，展现出古老而宁静的氛围。,地名\山名\叔得之丘.png
松果之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"濩水出焉,有鳥焉,",prompt: 松果之山，濩水从山中流出，山间有奇异的鸟栖息。请描绘一座雄伟的山脉，山顶云雾缭绕，山腰间流淌着清澈的濩水。在山林间，几只形态奇特、色彩斑斓的神鸟或飞翔或栖息于枝头。画面采用传统中国彩色水墨风格，注重山水的意境和神鸟的灵动，背景以淡雅的青绿色调为主，突出山川的壮丽与神秘。,地名\山名\松果之山.png
尸胡之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"北望𦍙山,其上多金玉,其下多棘,有獸焉,",prompt: 北望𦍙山，其上多金玉，其下多棘，有兽焉。请以《山海经》中的尸胡之山为背景，描绘出这座山的壮丽景象。画面中，远处是巍峨的𦍙山，山顶云雾缭绕，金光闪闪，象征着丰富的金矿和玉石。山脚下长满了荆棘丛生的灌木，展现出一种原始而荒凉的美感。在画面的中心，有一只神秘的野兽，它身姿矫健，毛色斑斓，目光炯炯有神，仿佛在守护着这片土地。整个画面采用传统中国美学的彩色水墨风格，色彩淡雅而富有层次感，线条流畅而富有动感。,地名\山名\尸胡之山.png
白玉山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"在大夏東,在流沙西,崑崙墟崑崙墟東南,皆在西北,",prompt: 一座雄伟的山脉，名为白玉山，位于大夏之东，流沙之西，昆仑墟东南方向。山峰层峦叠嶂，云雾缭绕，山体覆盖着皑皑白雪，仿佛镶嵌在大地上的巨大玉石。山脚下是茂密的森林和蜿蜒的河流，远处可见沙漠与绿洲交相辉映。整个画面采用古代插画风格，色彩以传统中国美学的彩色水墨为主，展现出一种神秘而宁静的氛围。,地名\山名\白玉山.png
萹遇之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 扁遇之山，一座神秘而古老的山脉，位于《山海经》中的奇异之地。画面中，扁遇之山被云雾缭绕，山势险峻而雄伟，山顶上隐约可见古木参天。山脚下，溪流潺潺，花草繁茂，呈现出一派生机盎然的景象。整幅画面采用传统中国美学的彩色水墨风格，色彩淡雅而富有层次感，展现出扁遇之山的幽静与神秘。,地名\山名\萹遇之山.png
白於之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"上多松栢,下多櫟檀,其獸多㸲牛羬羊,其鳥多鴞,洛水出于其陽,夾水出于其隂,",prompt: 一座雄伟的白於之山，山上松柏茂盛，山下栎树和檀木繁多。山中野兽以㸲牛和羬羊为主，飞鸟多为鸮。洛水从山的南面流出，夹水则从北面流出。画面采用古代插画风格，色彩以传统中国美学的彩色水墨风格呈现，展现出山川秀美、生机勃勃的景象。,地名\山名\白於之山.png
北嶽之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"多枳棘剛木,有獸焉,諸懷之水出焉,",prompt: 北嶽之山，山势险峻，多枳棘刚木，林木茂密，山间云雾缭绕。山中有一兽，形态奇特，毛色斑斓。诸怀之水从山间潺潺流出，清澈见底。画面采用传统中国美学的彩色水墨风格，注重表现山水之间的和谐与神秘感。,地名\山名\北嶽之山.png
不周負子,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"西北海之外,大荒之隅,有山而不合,有两黃獸守之,",prompt: 不周負子山，位于西北海之外的大荒之隅，山体巍峨而裂开，两座山峰之间有一道巨大的裂缝。山脚下，两只黄色的神兽守护着这座神秘的山。背景是苍茫的荒野和遥远的海洋。画面采用传统中国美学的彩色水墨风格，展现出山海经中的奇幻景象。,地名\山名\不周負子.png
不周之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"北望諸毗之山,臨彼嶽崇之山,東望泑澤,河水所潜也,其源渾渾泡泡,爰有嘉果,",prompt: 一座雄伟的山峰，名为不周之山，北面可以望见诸毗之山，东面则可看到泑泽，河水在此潜入地下。山脚下有清澈的河流源头，水流浑浊而翻滚。山上生长着各种美丽的果树，果实饱满诱人。画面采用中国传统水墨风格，色彩以淡雅为主，注重山水之间的和谐与自然之美。,地名\山名\不周之山.png
數歴之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多黄金,其下多銀,其木多杻橿,其鳥多鸚䳇,楚水出焉,","prompt: 数历之山，其上多黄金,其下多银,其木多杻橿,其鸟多鹦䳇,楚水出焉。画面中，数历之山雄伟壮观，山巅覆盖着金黄色的矿石，在阳光下闪闪发光；山脚下则是银色的矿脉，熠熠生辉。山间树木繁茂，以杻树和橿树为主，枝叶繁密，绿意盎然。天空中飞翔着各种色彩斑斓的鹦鹉和䳇鸟，它们在空中翱翔，鸣叫声清脆悦耳。山脚下有一条清澈的溪流，名为楚水，从山中潺潺流出，水面波光粼粼，映照着周围的自然美景。整个画面采用传统中国美学的彩色水墨风格，展现出一幅宁静而富饶的山水画卷。",地名\山名\數歴之山.png
神民之丘,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有九丘以水絡之,",prompt: 神民之丘，九座山丘环绕着清澈的水域，山丘上长满了翠绿的树木和奇花异草，水面上漂浮着莲花，远处云雾缭绕，整个画面呈现出一种宁静而神秘的氛围，古代插画风格，传统中国美学的彩色水墨风格。,地名\山名\神民之丘.png
師每之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其陽多砥礪,其隂多青䨼,其木多栢多檀多柘,其草多竹,",prompt: 师每之山，其阳多砥砺，其阴多青雘，其木多柏多檀多柘，其草多竹。请绘制一幅描绘师每之山的彩色水墨画，画面中应有丰富的柏树、檀树和柘树，以及茂密的竹林。山的南面布满磨刀石般的岩石，而北面则覆盖着青色的矿物颜料。整幅画应呈现出古朴典雅的传统中国美学风格。,地名\山名\師每之山.png
神囷之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上有文石,其下有白蛇,有飛蟲,黄水出焉,滏水出焉,",prompt: 神囷之山，山上覆盖着五彩斑斓的文石，山下盘踞着白色的巨蛇，周围飞舞着各种奇异的飞虫。山中有两条溪流，一条是黄水，另一条是滏水，从山中潺潺流出。画面采用古代插画风格，结合传统中国美学的彩色水墨技法，展现出神秘而壮丽的自然景象。,地名\山名\神囷之山.png
