名字,名字（拼音）,原文行,相关人物,章节,相关人物（拼音）,关系,relation
竹䉋,zhumei（竹䉋）,又西三百里，曰牡山，其上多文石，其下多竹箭、竹䉋，其獸多㸲牛、羬羊，鳥多赤鷩。,"㸲牛,羬羊,赤鷩,牡山,竹箭,文石",中山經,"zuoniu（㸲牛）,qianyang（羬羊）,chibi（赤鷩）,mushan（牡山）,zhujian（竹箭）,wenshi（文石）","共存,无关,无关,生长,并列,无关","coexistence,Independent,Independent,grow,juxtaposition,Independent"
竹山,zhushan（竹山）,又南三百里，曰竹山，錞于江，無草木，多瑤碧。激水出焉，而東南流注于娶檀之水，其中多茈羸。|凡《東山經》之首，自樕𧑤之山以至于竹山，凡十二山，三千六百里。其神狀皆人身龍首。祠：毛用一犬祈，䎶用魚。|又西五十二里，曰竹山，其上多喬木，其陰多鐵。有草焉，其名曰黃雚，其狀如樗，其葉如麻，白花而赤實，其狀如赭，浴之已疥，又可以已胕。竹水出焉，北流注于渭，其陽多竹箭，多蒼玉。丹水出焉，東南流注于洛水，其中多水玉，多人魚。有獸焉，其狀如豚而白毛，大如笄而黑端，名曰毫彘。,"娶檀之水,茈羸,激水,江,碧,樕𧑤之山,龍,犬,䎶,祈,毛,毫彘,人魚,竹水,丹水,洛水,喬木,竹箭,蒼玉,水玉,豚,渭,樗,麻,胕,疥,毛,赭,鐵",東山經;東山經;西山經,"qutanzhishui（娶檀之水）,cilei（茈羸）,jishui（激水）,jiang（江）,bi（碧）,suzhuzhishan（樕𧑤之山）,long（龍）,quan（犬）,er（䎶）,qi（祈）,mao（毛）,haozhi（毫彘）,renyu（人魚）,zhushui（竹水）,danshui（丹水）,luoshui（洛水）,qiaomu（喬木）,zhujian（竹箭）,cangyu（蒼玉）,shuiyu（水玉）,tun（豚）,wei（渭）,chu（樗）,ma（麻）,fu（胕）,jie（疥）,mao（毛）,zhe（赭）,tie（鐵）","流注,包含,出,相邻,存在,无关,无关,无关,无关,无关,无关,存在,无关,出,流出,无关,存在,多,存在,无关,无关,流注,无关,无关,治疗,无关,无关,无关,存在","Flowing injection,embody,go out,Adjacent,exist,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,go out,outflow,Independent,exist,many,exist,Independent,Independent,Flowing injection,Independent,Independent,treat,Independent,Independent,Independent,exist"
竹水,zhushui（竹水）,又西五十二里，曰竹山，其上多喬木，其陰多鐵。有草焉，其名曰黃雚，其狀如樗，其葉如麻，白花而赤實，其狀如赭，浴之已疥，又可以已胕。竹水出焉，北流注于渭，其陽多竹箭，多蒼玉。丹水出焉，東南流注于洛水，其中多水玉，多人魚。有獸焉，其狀如豚而白毛，大如笄而黑端，名曰毫彘。,"毫彘,人魚,竹山,丹水,洛水,喬木,竹箭,蒼玉,水玉,豚,渭,樗,麻,胕,疥,毛,赭,鐵",西山經,"haozhi（毫彘）,renyu（人魚）,zhushan（竹山）,danshui（丹水）,luoshui（洛水）,qiaomu（喬木）,zhujian（竹箭）,cangyu（蒼玉）,shuiyu（水玉）,tun（豚）,wei（渭）,chu（樗）,ma（麻）,fu（胕）,jie（疥）,mao（毛）,zhe（赭）,tie（鐵）","无关,无关,流经,无关,无关,无关,产,多,无关,无关,流注,无关,无关,治疗,无关,无关,无关,无关","Independent,Independent,Flows through,Independent,Independent,Independent,give birth,many,Independent,Independent,Flowing injection,Independent,Independent,treat,Independent,Independent,Independent,Independent"
竹箭,zhujian（竹箭）,又西二百里，曰蔓渠之山，其上多金玉，其下多竹箭。伊水出焉，而東流注于洛。有獸焉，其名曰馬腹，其狀如人面虎身，其音如嬰兒，是食人。|又西三百里，曰牡山，其上多文石，其下多竹箭、竹䉋，其獸多㸲牛、羬羊，鳥多赤鷩。|又西九十里，曰夸父之山，其木多椶柟，多竹箭，其獸多㸲牛、羬羊，其鳥多鷩，其陽多玉，其陰多鐵。其北有林焉，名曰桃林，是廣員三百里，其中多馬。湖水出焉，而北流注于河，其中多珚玉。|又東南一百八十里，曰暴山，其木多椶柟荊芑竹箭䉋箘，其上多黃金玉，其下多文石鐵，其獸多麋鹿𪊨，就。|又東三百七十里，曰泰頭之山，共水出焉，南注于虖池。其上多金玉，其下多竹箭。|又西五十二里，曰竹山，其上多喬木，其陰多鐵。有草焉，其名曰黃雚，其狀如樗，其葉如麻，白花而赤實，其狀如赭，浴之已疥，又可以已胕。竹水出焉，北流注于渭，其陽多竹箭，多蒼玉。丹水出焉，東南流注于洛水，其中多水玉，多人魚。有獸焉，其狀如豚而白毛，大如笄而黑端，名曰毫彘。|又西七十里，曰羭次之山，漆水出焉，北流注于渭。其上多棫橿，其下多竹箭，其陰多赤銅，其陽多嬰垣之玉。有獸焉，其狀如禺而長臂，善投，其名曰囂。有鳥焉，其狀如梟，人面而一足，曰橐𩇯，冬見夏蟄，服之不畏雷。|又西百八十里，曰黃山，無草木，多竹箭。盼水出焉，西流注于赤水，其中多玉。有獸焉，其狀如牛，而蒼黑大目，其名曰𤛎。有鳥焉，其狀如鴞，青羽赤喙，人舌能言，名曰鸚䳇。|又西二百里，曰翠山，其上多椶枏，其下多竹箭，其陽多黃金、玉，其陰多旄牛，麢、麝；其鳥多鸓，其狀如鵲，赤黑而西首四足，可以禦火。,"蔓渠之山,馬腹,伊水,虎,嬰,玉,金,㸲牛,羬羊,赤鷩,牡山,竹䉋,文石,夸父之山,㸲牛,羬羊,桃林,湖水,珚玉,馬,鷩,河,柟,鐵,暴山,文石,鹿,麋,柟,芑,箘,䉋,玉,金,鐵,泰頭之山,共水,虖池,玉,金,毫彘,人魚,竹山,竹水,丹水,洛水,喬木,蒼玉,水玉,豚,渭,樗,麻,胕,疥,毛,赭,鐵,羭次之山,嬰垣之玉,橐𩇯,漆水,赤銅,囂,禺,梟,服,渭,棫,橿,投,赤水,鸚䳇,盼水,𤛎,牛,鴞,羽,玉,旄牛,翠山,麢,麝,鸓,鵲,枏,玉,金",中山經;中山經;中山經;中山經;北山經;西山經;西山經;西山經;西山經,"manquzhishan（蔓渠之山）,mafu（馬腹）,yishui（伊水）,hu（虎）,ying（嬰）,yu（玉）,jin（金）,zuoniu（㸲牛）,qianyang（羬羊）,chibi（赤鷩）,mushan（牡山）,zhumei（竹䉋）,wenshi（文石）,kuafuzhishan（夸父之山）,zuoniu（㸲牛）,qianyang（羬羊）,taolin（桃林）,hushui（湖水）,yanyu（珚玉）,ma（馬）,bi（鷩）,he（河）,nan（柟）,tie（鐵）,baoshan（暴山）,wenshi（文石）,lu（鹿）,mi（麋）,nan（柟）,qi（芑）,jun（箘）,mei（䉋）,yu（玉）,jin（金）,tie（鐵）,taitouzhishan（泰頭之山）,gongshui（共水）,huchi（虖池）,yu（玉）,jin（金）,haozhi（毫彘）,renyu（人魚）,zhushan（竹山）,zhushui（竹水）,danshui（丹水）,luoshui（洛水）,qiaomu（喬木）,cangyu（蒼玉）,shuiyu（水玉）,tun（豚）,wei（渭）,chu（樗）,ma（麻）,fu（胕）,jie（疥）,mao（毛）,zhe（赭）,tie（鐵）,yucizhishan（羭次之山）,yingyuanzhiyu（嬰垣之玉）,tuofei（橐𩇯）,qishui（漆水）,chitong（赤銅）,xiao（囂）,yu（禺）,xiao（梟）,fu（服）,wei（渭）,yu（棫）,jiang（橿）,tou（投）,chishui（赤水）,yingwu（鸚䳇）,panshui（盼水）,min（𤛎）,niu（牛）,xiao（鴞）,yu（羽）,yu（玉）,maoniu（旄牛）,cuishan（翠山）,ling（麢）,she（麝）,lei（鸓）,que（鵲）,nan（枏）,yu（玉）,jin（金）","存在,无关,无关,无关,无关,无关,无关,无关,无关,无关,生长,并列,无关,存在,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,生长,无关,无关,无关,无关,并列,并列,并列,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,产自,无关,无关,无关,无关,并存,无关,无关,流注,无关,无关,无关,无关,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,无关","exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,grow,juxtaposition,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,grow,Independent,Independent,Independent,Independent,juxtaposition,juxtaposition,juxtaposition,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Produced from,Independent,Independent,Independent,Independent,Coexist,Independent,Independent,Flowing injection,Independent,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent"
符禺之山,fuyuzhishan（符禺之山）,又西八十里，曰符禺之山，其陽多銅，其陰多鐵。其上有木焉，名曰文莖，其實如棗，可以已聾。其草多條，其狀如葵，而赤花黃實，如嬰兒舌，食之使人不惑。符禺之水出焉，而北流注于渭。其獸多葱聾，其狀如羊而赤鬣。其鳥多鴖，其狀如翠而赤喙，可以禦火。,"符禺之水,葱聾,文莖,羊,鴖,翠,渭,棗,葵,條,惑,嬰,銅,鐵",西山經,"fuyuzhishui（符禺之水）,conglong（葱聾）,wenjing（文莖）,yang（羊）,min（鴖）,cui（翠）,wei（渭）,zao（棗）,kui（葵）,tiao（條）,huo（惑）,ying（嬰）,tong（銅）,tie（鐵）","出,居住,存在,无关,栖息,无关,流入,类似,无关,生长,无关,无关,包含,含","go out,reside,exist,Independent,roost,Independent,inflow,similar,Independent,grow,Independent,Independent,embody,contain"
符禺之水,fuyuzhishui（符禺之水）,又西八十里，曰符禺之山，其陽多銅，其陰多鐵。其上有木焉，名曰文莖，其實如棗，可以已聾。其草多條，其狀如葵，而赤花黃實，如嬰兒舌，食之使人不惑。符禺之水出焉，而北流注于渭。其獸多葱聾，其狀如羊而赤鬣。其鳥多鴖，其狀如翠而赤喙，可以禦火。,"符禺之山,葱聾,文莖,羊,鴖,翠,渭,棗,葵,條,惑,嬰,銅,鐵",西山經,"fuyuzhishan（符禺之山）,conglong（葱聾）,wenjing（文莖）,yang（羊）,min（鴖）,cui（翠）,wei（渭）,zao（棗）,kui（葵）,tiao（條）,huo（惑）,ying（嬰）,tong（銅）,tie（鐵）","出,存在,流经,无关,存在,无关,注入,无关,无关,生长,无关,无关,无关,无关","go out,exist,Flows through,Independent,exist,Independent,inject,Independent,Independent,grow,Independent,Independent,Independent,Independent"
筀竹,guizhu（筀竹）,又東七十里，曰丙山，多筀竹，多黃金銅鐵，無木。,"丙山,金,銅,鐵",中山經,"bingshan（丙山）,jin（金）,tong（銅）,tie（鐵）","生长,共存,共存,无关","grow,coexistence,coexistence,Independent"
箕尾之山,jiweizhishan（箕尾之山）,又西二百里，曰箕尾之山，多穀，多涂石，其上多㻬琈之玉。|又東三百五十里，曰箕尾之山，其尾踆于東海，多沙石。汸水出焉，而南流注于淯，其中多白玉。|凡䧿山之首，自招搖之山，以至箕尾之山，凡十山，二千九百五十里。其神狀皆鳥身而龍首，其祠之禮：毛用一璋玉瘞，糈用稌米，一壁，稻米、白菅為席。,"㻬琈之玉,涂石,汸水,東海,白玉,沙石,淯,䧿山,白菅,璋玉,稻米,稌米,龍,瘞,毛,席,壁,糈",中山經;南山經;南山經,"tufuzhiyu（㻬琈之玉）,tushi（涂石）,fangshui（汸水）,donghai（東海）,baiyu（白玉）,shashi（沙石）,yu（淯）,queshan（䧿山）,baijian（白菅）,zhangyu（璋玉）,daomi（稻米）,tumi（稌米）,long（龍）,yi（瘞）,mao（毛）,xi（席）,bi（壁）,xu（糈）","存在,存在,出,踆,含有,存在,流入,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,用作祭品","exist,exist,go out,踆,contains,exist,inflow,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Used as an offering"
箘,jun（箘）,又東南一百八十里，曰暴山，其木多椶柟荊芑竹箭䉋箘，其上多黃金玉，其下多文石鐵，其獸多麋鹿𪊨，就。,"暴山,竹箭,文石,鹿,麋,柟,芑,䉋,玉,金,鐵",中山經,"baoshan（暴山）,zhujian（竹箭）,wenshi（文石）,lu（鹿）,mi（麋）,nan（柟）,qi（芑）,mei（䉋）,yu（玉）,jin（金）,tie（鐵）","生长,并列,无关,无关,无关,无关,无关,并列,无关,无关,无关","grow,juxtaposition,Independent,Independent,Independent,Independent,Independent,juxtaposition,Independent,Independent,Independent"
管,guan（管）,梟陽國在北朐之西，其為人人面長唇，黑身有毛，反踵，見人笑亦笑，左手操管。|凡《西次四經》自陰山以下，至於崦嵫之山，凡十九山，三千六百八十里。其祠祀禮，皆用一白鷄祈。糈以稻米，白管為席。,"梟陽國,毛,崦嵫之山,西次四經,白鷄,稻米,祈,席,糈",海內南經;西山經,"xiaoyangguo（梟陽國）,mao（毛）,yanzizhishan（崦嵫之山）,xicisijing（西次四經）,baiji（白鷄）,daomi（稻米）,qi（祈）,xi（席）,xu（糈）","操,无关,无关,作为席子使用,无关,无关,无关,作为,无关","Exercise,Independent,Independent,Use as a mat,Independent,Independent,Independent,As,Independent"
管涔之山,guancenzhishan（管涔之山）,北次二經之首，在河之東，其首枕汾，其名曰管涔之山。其上無木而多草，其下多玉。汾水出焉，而西流注于河。|凡《北次二經》之首，自管涔之山至于敦題之山，凡十七山，五千六百九十里。其神皆蛇身人面。其祠：毛用一雄雞彘瘞；用一璧一珪，投而不糈。,"北次二經,汾水,河,玉,敦題之山,北次二經,雄雞,彘,蛇,瘞,投,毛,璧,珪,糈",北山經;北山經,"beicierjing（北次二經）,fenshui（汾水）,he（河）,yu（玉）,duntizhishan（敦題之山）,beicierjing（北次二經）,xiongji（雄雞）,zhi（彘）,she（蛇）,yi（瘞）,tou（投）,mao（毛）,bi（璧）,gui（珪）,xu（糈）","属于,流出,西流注于,存在,连接,属于,用作祭祀,用于祭祀,无关,无关,无关,无关,无关,用作祭品,无关","belong,outflow,It flows westward into the Yu River,exist,connect,belong,Used for sacrifices,Used for sacrifices,Independent,Independent,Independent,Independent,Independent,Used as an offering,Independent"
箭,jian（箭）,又西七十里，曰英山，其上多杻橿，其陰多鐵，其陽多赤金。禺水出焉，北流注于招水，其中多䰷魚，其狀如鱉，其音如羊。其陽多箭䉋，其獸多㸲牛、羬羊。有鳥焉，其狀如鶉，黃身而赤喙，其名曰肥遺，食之已癘，可以殺蟲。,"㸲牛,羬羊,䰷魚,肥遺,英山,禺水,招水,赤金,蟲,鶉,橿,杻,䉋,癘,鐵",西山經,"zuoniu（㸲牛）,qianyang（羬羊）,bangyu（䰷魚）,feiyi（肥遺）,yingshan（英山）,yushui（禺水）,zhaoshui（招水）,chijin（赤金）,chong（蟲）,chun（鶉）,jiang（橿）,chou（杻）,mei（䉋）,li（癘）,tie（鐵）","无关,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,无关,并列,无关,无关","Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,juxtaposition,Independent,Independent"
箴石,zhenshi（箴石）,又南四百里，曰高氏之山，其上多玉，其下多箴石。諸繩之水出焉，東流注于澤，其中多金玉。|又南五百里，曰鳧麗之山，其上多金玉，其下多箴石。有獸焉，其狀如狐，而九尾、九首、虎爪，名曰蠪姪，其音如嬰兒，是食人。,"諸繩之水,玉,金,蠪姪,鳧,虎,狐,嬰,玉,金",東山經;東山經,"zhushengzhishui（諸繩之水）,yu（玉）,jin（金）,longzhi（蠪姪）,fu（鳧）,hu（虎）,hu（狐）,ying（嬰）,yu（玉）,jin（金）","出,无关,无关,无关,无关,无关,无关,无关,无关,无关","go out,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent"
箴魚,zhenyu（箴魚）,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"栒狀之山,從從,𣲵水,湖水,疫疾,青碧,犬,鼠,鷄,毛,玉,金,石",東山經,"xunzhuangzhishan（栒狀之山）,congcong（從從）,zhishui（𣲵水）,hushui（湖水）,yiji（疫疾）,qingbi（青碧）,quan（犬）,shu（鼠）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）","存在,无关,存在于,无关,避免,无关,无关,无关,无关,无关,无关,无关,无关","exist,Independent,exists,Independent,avoid,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent"
節並,jiebing（節並）,炎帝之妻，赤水之子聽訞生炎居，炎居生節並，節並生戲器，戲器生祝融，祝融降處于江水，生共工，共工生術器，術器首方顛，是復土穰，以處江水。共工生后土，后土生噎鳴，噎鳴生歲十有二。,"聽訞,炎居,噎鳴,赤水,祝融,共工,后土,術器,炎帝,江水",海內經,"tingyao（聽訞）,yanju（炎居）,yeming（噎鳴）,chishui（赤水）,zhurong（祝融）,gonggong（共工）,houtu（后土）,shuqi（術器）,yandi（炎帝）,jiangshui（江水）","母亲,生,无关,无关,生,无关,无关,无关,生,无关","Mother,bear,Independent,Independent,bear,Independent,Independent,Independent,bear,Independent"
篇遇之山,pianyuzhishan（篇遇之山）,《中次十二經》洞庭山之首，曰篇遇之山，無草木，多黃金。|凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"洞庭山,金,陽帝之山,夫夫之山,即公之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經;中山經,"dongtingshan（洞庭山）,jin（金）,yangdizhishan（陽帝之山）,fufuzhishan（夫夫之山）,jigongzhishan（即公之山）,rongyuzhishan（榮余之山）,dongtingshan（洞庭山）,pintun（牝豚）,yaoshan（堯山）,shaolao（少牢）,tailao（太牢）,jiyu（吉玉）,xiongji（雄鷄）,long（龍）,yi（瘞）,ying（嬰）,ji（刉）,qi（祈）,si（肆）,mao（毛）,bi（璧）,gui（圭）,xu（糈）,jiu（酒）","属于,多,无关,无关,无关,至,包含,用作祭祀,无关,无关,无关,无关,无关,无关,无关,无关,无关,祈用酒,无关,用,用于祭祀,用于,用,无关","belong,many,Independent,Independent,Independent,reach,embody,Used for sacrifices,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Pray for wine,Independent,use,Used for sacrifices,For,use,Independent"
簳,gan（簳）,《中次七經》苦山之首，曰休與之山。其上有石焉，名曰帝臺之棋，五色而文，其狀如鶉卵，帝臺之石，所以禱百神者也，服之不蠱。有草焉，其狀如蓍，赤葉而本叢生，名曰風條，可以為簳。,"休與之山,帝臺之棋,帝臺之石,百神,苦山,鶉,服,蓍,條,風,蠱,禱",中山經,"xiuyuzhishan（休與之山）,ditaizhiqi（帝臺之棋）,ditaizhishi（帝臺之石）,baishen（百神）,kushan（苦山）,chun（鶉）,fu（服）,shi（蓍）,tiao（條）,feng（風）,gu（蠱）,dao（禱）","生长于,无关,无关,无关,无关,无关,无关,可以为,可以制作,无关,无关,无关","Grew up in,Independent,Independent,Independent,Independent,Independent,Independent,Yes,can be made,Independent,Independent,Independent"
米,mi（米）,凡《北次三經》之首，自太行之山以至于無逢之山，凡四十六山，萬二千三百五十里。其神狀皆馬身而人面者廿神。其祠之，皆用一藻茝瘞之。其十四神，狀皆彘身而載玉。其祠之，皆玉，不瘞。其十神，狀皆彘身而八足，蛇尾。其祠之，皆用一璧瘞之。大凡四十四神，皆用稌糈米祠之，此皆不火食。|凡《東次三經》之首，自尸胡之山至于無睪之山，凡十九山，六千九百里。其神狀皆人身而羊角。其祠：用一牡羊，米用黍。是神也，見則風雨水為敗。,"太行之山,無逢之山,北次三經,彘,馬,蛇,藻,茝,瘞,璧,糈,玉,無睪之山,尸胡之山,東次三經,牡羊,風,黍",北山經;東山經,"taixingzhishan（太行之山）,wufengzhishan（無逢之山）,beicisanjing（北次三經）,zhi（彘）,ma（馬）,she（蛇）,zao（藻）,chai（茝）,yi（瘞）,bi（璧）,xu（糈）,yu（玉）,wuyizhishan（無睪之山）,shihuzhishan（尸胡之山）,dongcisanjing（東次三經）,muyang（牡羊）,feng（風）,shu（黍）","用于,用于祠祭,用于,用于祠祭,无关,无关,无关,并列,用,无关,包含,无关,用作祭品,用作祭品,用,无关,无关,用","For,It is used for sacrifices,For,It is used for sacrifices,Independent,Independent,Independent,juxtaposition,use,Independent,embody,Independent,Used as an offering,Used as an offering,use,Independent,Independent,use"
粟,su（粟）,又西北四百二十里，曰峚山，其上多丹木，員葉而赤莖，黃華而赤實，其味如飴，食之不飢。丹水出焉，西流注于稷澤，其中多白玉，是有玉膏，其源沸沸湯湯，黃帝是食是饗。是生玄玉。玉膏所出，以灌丹木。丹木五歲，五色乃清，五味乃馨。黃帝乃取峚山之玉榮，而投之鍾山之陽。瑾瑜之玉為良，堅粟精密，濁澤有而光。五色發作，以和柔剛。天地鬼神，是食是饗；君子服之，以禦不祥。自峚山至于鍾山，四百六十里，其間盡澤也。是多奇鳥、怪獸、奇魚，皆異物焉。,"瑾瑜之玉,怪獸,鍾山,峚山,丹水,稷澤,盡澤,丹木,玄玉,玉膏,玉榮,白玉,帝,服,饗,投,飴",西山經,"jinyuzhiyu（瑾瑜之玉）,guaishou（怪獸）,zhongshan（鍾山）,mishan（峚山）,danshui（丹水）,jize（稷澤）,jinze（盡澤）,danmu（丹木）,xuanyu（玄玉）,yugao（玉膏）,yurong（玉榮）,baiyu（白玉）,di（帝）,fu（服）,xiang（饗）,tou（投）,yi（飴）","无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关","Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent"
精精,jingjing（精精）,又南水行九百里，曰踇隅之山，其上有草木，多金玉，多赭。有獸焉，其狀如牛而馬尾，名曰精精，其鳴自叫。,"踇隅之山,馬,牛,玉,赭,金",東山經,"muyuzhishan（踇隅之山）,ma（馬）,niu（牛）,yu（玉）,zhe（赭）,jin（金）","居住,无关,状如,无关,无关,无关","reside,Independent,It looks like this,Independent,Independent,Independent"
精衛,jingwei（精衛）,又北二百里，曰發鳩之山，其上多柘木。有鳥焉，其狀如烏，文首、白喙、赤足，名曰精衛，其鳴自詨。是炎帝之少女，名曰女娃，女娃遊于東海，溺而不返，故為精衛，常銜西山之木石，以堙于東海。漳水出焉，東流注于河。,"發鳩之山,炎帝,女娃,西山,漳水,東海,烏,河,柘,石",北山經,"fajiuzhishan（發鳩之山）,yandi（炎帝）,nvwa（女娃）,xishan（西山）,zhangshui（漳水）,donghai（東海）,wu（烏）,he（河）,zhe（柘）,shi（石）","位于,是,是,衔取,无关,溺,像,无关,无关,衔","situated,be,be,Take it,Independent,drown,resemble,Independent,Independent,Title"
