名字,原文行,相关人物,章节
碧,東北海之外，大荒之中，河水之間，附禺之山，帝顓頊與九嬪葬焉。爰有𩿨久、文貝、離俞、鸞鳥、凰鳥、大物、小物。有青鳥、琅鳥、玄鳥、黃鳥、虎、豹、熊、羆、黃蛇、視肉、璿、瑰、瑤、碧，皆出衛於山。丘方圓三百里，丘南帝俊竹林在焉，大可為舟。竹南有赤澤水，名曰封淵。有三桑無枝。丘西有沉淵，顓頊所浴。,"附禺之山,帝俊竹林,帝顓頊,視肉,文貝,玄鳥,鸞鳥,琅鳥,離俞,青鳥,北海,沉淵,封淵,三桑,熊,豹,虎,羆,蛇,舟,河,枝",大荒北經
胡不與之國,有胡不與之國，烈姓，黍食。,黍,大荒北經
黍,有胡不與之國，烈姓，黍食。,胡不與之國,大荒北經
琴蟲,大荒之中，有山名曰不咸。有肅慎氏之國。有悲蛭，四翼。有蟲，獸首蛇身，名曰琴蟲。,"不咸,蛇",大荒北經
不咸,大荒之中，有山名曰不咸。有肅慎氏之國。有悲蛭，四翼。有蟲，獸首蛇身，名曰琴蟲。,"琴蟲,蛇",大荒北經
蛇,大荒之中，有山名曰不咸。有肅慎氏之國。有悲蛭，四翼。有蟲，獸首蛇身，名曰琴蟲。,"琴蟲,不咸",大荒北經
大青蛇,有人名曰大人。有大人之國，釐姓，黍食。有大青蛇，黃頭，食麈。,"大人,麈,黍",大荒北經
大人,有人名曰大人。有大人之國，釐姓，黍食。有大青蛇，黃頭，食麈。,"大青蛇,麈,黍",大荒北經
麈,有人名曰大人。有大人之國，釐姓，黍食。有大青蛇，黃頭，食麈。,"大青蛇,大人,黍",大荒北經
黍,有人名曰大人。有大人之國，釐姓，黍食。有大青蛇，黃頭，食麈。,"大青蛇,大人,麈",大荒北經
鯀攻程州之山,有榆山。有鯀攻程州之山。,榆山,大荒北經
榆山,有榆山。有鯀攻程州之山。,鯀攻程州之山,大荒北經
先民之山,大荒之中，有山名曰衡天。有先民之山。有槃木千里。,"衡天,槃木",大荒北經
衡天,大荒之中，有山名曰衡天。有先民之山。有槃木千里。,"先民之山,槃木",大荒北經
槃木,大荒之中，有山名曰衡天。有先民之山。有槃木千里。,"先民之山,衡天",大荒北經
叔歜國,有叔歜國。顓頊之子，黍食，使四鳥：虎、豹、熊、羆。有黑蟲，如熊狀，名曰猎猎。,"猎猎,熊,豹,虎,羆,蟲,黍",大荒北經
猎猎,有叔歜國。顓頊之子，黍食，使四鳥：虎、豹、熊、羆。有黑蟲，如熊狀，名曰猎猎。,"叔歜國,熊,豹,虎,羆,蟲,黍",大荒北經
熊,有叔歜國。顓頊之子，黍食，使四鳥：虎、豹、熊、羆。有黑蟲，如熊狀，名曰猎猎。,"叔歜國,猎猎,豹,虎,羆,蟲,黍",大荒北經
豹,有叔歜國。顓頊之子，黍食，使四鳥：虎、豹、熊、羆。有黑蟲，如熊狀，名曰猎猎。,"叔歜國,猎猎,熊,虎,羆,蟲,黍",大荒北經
虎,有叔歜國。顓頊之子，黍食，使四鳥：虎、豹、熊、羆。有黑蟲，如熊狀，名曰猎猎。,"叔歜國,猎猎,熊,豹,羆,蟲,黍",大荒北經
羆,有叔歜國。顓頊之子，黍食，使四鳥：虎、豹、熊、羆。有黑蟲，如熊狀，名曰猎猎。,"叔歜國,猎猎,熊,豹,虎,蟲,黍",大荒北經
蟲,有叔歜國。顓頊之子，黍食，使四鳥：虎、豹、熊、羆。有黑蟲，如熊狀，名曰猎猎。,"叔歜國,猎猎,熊,豹,虎,羆,黍",大荒北經
黍,有叔歜國。顓頊之子，黍食，使四鳥：虎、豹、熊、羆。有黑蟲，如熊狀，名曰猎猎。,"叔歜國,猎猎,熊,豹,虎,羆,蟲",大荒北經
北齊之國,有北齊之國，姜姓，使虎、豹、熊、羆。,"熊,豹,虎,羆",大荒北經
熊,有北齊之國，姜姓，使虎、豹、熊、羆。,"北齊之國,豹,虎,羆",大荒北經
豹,有北齊之國，姜姓，使虎、豹、熊、羆。,"北齊之國,熊,虎,羆",大荒北經
虎,有北齊之國，姜姓，使虎、豹、熊、羆。,"北齊之國,熊,豹,羆",大荒北經
羆,有北齊之國，姜姓，使虎、豹、熊、羆。,"北齊之國,熊,豹,虎",大荒北經
禹,大荒之中，有山名曰先檻大逢之山，河、濟所入，海北注焉。其西有山，名曰禹所積石。,"檻,河,濟,石",大荒北經
檻,大荒之中，有山名曰先檻大逢之山，河、濟所入，海北注焉。其西有山，名曰禹所積石。,"禹,河,濟,石",大荒北經
河,大荒之中，有山名曰先檻大逢之山，河、濟所入，海北注焉。其西有山，名曰禹所積石。,"禹,檻,濟,石",大荒北經
濟,大荒之中，有山名曰先檻大逢之山，河、濟所入，海北注焉。其西有山，名曰禹所積石。,"禹,檻,河,石",大荒北經
石,大荒之中，有山名曰先檻大逢之山，河、濟所入，海北注焉。其西有山，名曰禹所積石。,"禹,檻,河,濟",大荒北經
始州之國,有陽山者。有順山者，順水出焉。有始州之國，有丹山。,"陽山,丹山,順山,順水",大荒北經
陽山,有陽山者。有順山者，順水出焉。有始州之國，有丹山。,"始州之國,丹山,順山,順水",大荒北經
丹山,有陽山者。有順山者，順水出焉。有始州之國，有丹山。,"始州之國,陽山,順山,順水",大荒北經
順山,有陽山者。有順山者，順水出焉。有始州之國，有丹山。,"始州之國,陽山,丹山,順水",大荒北經
順水,有陽山者。有順山者，順水出焉。有始州之國，有丹山。,"始州之國,陽山,丹山,順山",大荒北經
毛民之國,有毛民之國，依姓，食黍，使四鳥。禹生均國，均國生役采，役采生脩鞈，脩鞈殺綽人。帝念之，潛為之國，是此毛民。,"脩鞈,綽人,均國,禹,帝,黍",大荒北經
脩鞈,有毛民之國，依姓，食黍，使四鳥。禹生均國，均國生役采，役采生脩鞈，脩鞈殺綽人。帝念之，潛為之國，是此毛民。,"毛民之國,綽人,均國,禹,帝,黍",大荒北經
綽人,有毛民之國，依姓，食黍，使四鳥。禹生均國，均國生役采，役采生脩鞈，脩鞈殺綽人。帝念之，潛為之國，是此毛民。,"毛民之國,脩鞈,均國,禹,帝,黍",大荒北經
均國,有毛民之國，依姓，食黍，使四鳥。禹生均國，均國生役采，役采生脩鞈，脩鞈殺綽人。帝念之，潛為之國，是此毛民。,"毛民之國,脩鞈,綽人,禹,帝,黍",大荒北經
禹,有毛民之國，依姓，食黍，使四鳥。禹生均國，均國生役采，役采生脩鞈，脩鞈殺綽人。帝念之，潛為之國，是此毛民。,"毛民之國,脩鞈,綽人,均國,帝,黍",大荒北經
帝,有毛民之國，依姓，食黍，使四鳥。禹生均國，均國生役采，役采生脩鞈，脩鞈殺綽人。帝念之，潛為之國，是此毛民。,"毛民之國,脩鞈,綽人,均國,禹,黍",大荒北經
黍,有毛民之國，依姓，食黍，使四鳥。禹生均國，均國生役采，役采生脩鞈，脩鞈殺綽人。帝念之，潛為之國，是此毛民。,"毛民之國,脩鞈,綽人,均國,禹,帝",大荒北經
儋耳之國,有儋耳之國，任姓，禺號子，食穀。北海之渚中，有神，人面鳥身，珥兩青蛇，踐兩赤蛇，名曰禺彊。,"禺號,禺彊,赤蛇,青蛇,北海",大荒北經
禺號,有儋耳之國，任姓，禺號子，食穀。北海之渚中，有神，人面鳥身，珥兩青蛇，踐兩赤蛇，名曰禺彊。,"儋耳之國,禺彊,赤蛇,青蛇,北海",大荒北經
禺彊,有儋耳之國，任姓，禺號子，食穀。北海之渚中，有神，人面鳥身，珥兩青蛇，踐兩赤蛇，名曰禺彊。,"儋耳之國,禺號,赤蛇,青蛇,北海",大荒北經
赤蛇,有儋耳之國，任姓，禺號子，食穀。北海之渚中，有神，人面鳥身，珥兩青蛇，踐兩赤蛇，名曰禺彊。,"儋耳之國,禺號,禺彊,青蛇,北海",大荒北經
青蛇,有儋耳之國，任姓，禺號子，食穀。北海之渚中，有神，人面鳥身，珥兩青蛇，踐兩赤蛇，名曰禺彊。,"儋耳之國,禺號,禺彊,赤蛇,北海",大荒北經
北海,有儋耳之國，任姓，禺號子，食穀。北海之渚中，有神，人面鳥身，珥兩青蛇，踐兩赤蛇，名曰禺彊。,"儋耳之國,禺號,禺彊,赤蛇,青蛇",大荒北經
北極天樻,大荒之中，有山名曰北極天樻，海水北注焉。有神，九首人面鳥身，名曰九鳳。又有神衘蛇操蛇，其狀虎首人身，四蹄長肘，名曰彊良。,"彊良,虎,蛇",大荒北經
彊良,大荒之中，有山名曰北極天樻，海水北注焉。有神，九首人面鳥身，名曰九鳳。又有神衘蛇操蛇，其狀虎首人身，四蹄長肘，名曰彊良。,"北極天樻,虎,蛇",大荒北經
虎,大荒之中，有山名曰北極天樻，海水北注焉。有神，九首人面鳥身，名曰九鳳。又有神衘蛇操蛇，其狀虎首人身，四蹄長肘，名曰彊良。,"北極天樻,彊良,蛇",大荒北經
蛇,大荒之中，有山名曰北極天樻，海水北注焉。有神，九首人面鳥身，名曰九鳳。又有神衘蛇操蛇，其狀虎首人身，四蹄長肘，名曰彊良。,"北極天樻,彊良,虎",大荒北經
成都載天,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"蚩尤,后土,夸父,應龍,大澤,禺谷,信,蛇,河",大荒北經
蚩尤,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"成都載天,后土,夸父,應龍,大澤,禺谷,信,蛇,河",大荒北經
后土,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"成都載天,蚩尤,夸父,應龍,大澤,禺谷,信,蛇,河",大荒北經
夸父,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"成都載天,蚩尤,后土,應龍,大澤,禺谷,信,蛇,河",大荒北經
應龍,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"成都載天,蚩尤,后土,夸父,大澤,禺谷,信,蛇,河",大荒北經
大澤,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"成都載天,蚩尤,后土,夸父,應龍,禺谷,信,蛇,河",大荒北經
禺谷,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"成都載天,蚩尤,后土,夸父,應龍,大澤,信,蛇,河",大荒北經
信,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"成都載天,蚩尤,后土,夸父,應龍,大澤,禺谷,蛇,河",大荒北經
蛇,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"成都載天,蚩尤,后土,夸父,應龍,大澤,禺谷,信,河",大荒北經
河,大荒之中，有山名曰成都載天。有人珥兩黃蛇，把兩黃蛇，名曰夸父。后土生信，信生夸父。夸父不量力，欲追日景，逮之於禺谷。捋飲河而不足也，將走大澤，未至，死于此。應龍已殺蚩尤，又殺夸父，乃去南方處之，故南方多雨。,"成都載天,蚩尤,后土,夸父,應龍,大澤,禺谷,信,蛇",大荒北經
相繇,共工臣名曰相繇，九首蛇身，自環，食于九土。其所歍所尼，即為源澤，不辛乃苦，百獸莫能處。禹湮洪水，殺相繇，其血腥臭，不可生穀，其地多水，不可居也。禹湮之，三仞三沮，乃以為池，群帝是因以為臺。在崑崙之北。,"共工,崑崙,禹,帝,蛇,環",大荒北經
共工,共工臣名曰相繇，九首蛇身，自環，食于九土。其所歍所尼，即為源澤，不辛乃苦，百獸莫能處。禹湮洪水，殺相繇，其血腥臭，不可生穀，其地多水，不可居也。禹湮之，三仞三沮，乃以為池，群帝是因以為臺。在崑崙之北。,"相繇,崑崙,禹,帝,蛇,環",大荒北經
崑崙,共工臣名曰相繇，九首蛇身，自環，食于九土。其所歍所尼，即為源澤，不辛乃苦，百獸莫能處。禹湮洪水，殺相繇，其血腥臭，不可生穀，其地多水，不可居也。禹湮之，三仞三沮，乃以為池，群帝是因以為臺。在崑崙之北。,"相繇,共工,禹,帝,蛇,環",大荒北經
禹,共工臣名曰相繇，九首蛇身，自環，食于九土。其所歍所尼，即為源澤，不辛乃苦，百獸莫能處。禹湮洪水，殺相繇，其血腥臭，不可生穀，其地多水，不可居也。禹湮之，三仞三沮，乃以為池，群帝是因以為臺。在崑崙之北。,"相繇,共工,崑崙,帝,蛇,環",大荒北經
帝,共工臣名曰相繇，九首蛇身，自環，食于九土。其所歍所尼，即為源澤，不辛乃苦，百獸莫能處。禹湮洪水，殺相繇，其血腥臭，不可生穀，其地多水，不可居也。禹湮之，三仞三沮，乃以為池，群帝是因以為臺。在崑崙之北。,"相繇,共工,崑崙,禹,蛇,環",大荒北經
蛇,共工臣名曰相繇，九首蛇身，自環，食于九土。其所歍所尼，即為源澤，不辛乃苦，百獸莫能處。禹湮洪水，殺相繇，其血腥臭，不可生穀，其地多水，不可居也。禹湮之，三仞三沮，乃以為池，群帝是因以為臺。在崑崙之北。,"相繇,共工,崑崙,禹,帝,環",大荒北經
環,共工臣名曰相繇，九首蛇身，自環，食于九土。其所歍所尼，即為源澤，不辛乃苦，百獸莫能處。禹湮洪水，殺相繇，其血腥臭，不可生穀，其地多水，不可居也。禹湮之，三仞三沮，乃以為池，群帝是因以為臺。在崑崙之北。,"相繇,共工,崑崙,禹,帝,蛇",大荒北經
係昆之山,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"共工之臺,赤水,蚩尤,叔均,田祖,應龍,雨師,帝女,風伯,女魃,青衣,冀州,逐",大荒北經
共工之臺,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,赤水,蚩尤,叔均,田祖,應龍,雨師,帝女,風伯,女魃,青衣,冀州,逐",大荒北經
赤水,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,蚩尤,叔均,田祖,應龍,雨師,帝女,風伯,女魃,青衣,冀州,逐",大荒北經
蚩尤,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,叔均,田祖,應龍,雨師,帝女,風伯,女魃,青衣,冀州,逐",大荒北經
叔均,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,田祖,應龍,雨師,帝女,風伯,女魃,青衣,冀州,逐",大荒北經
田祖,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,叔均,應龍,雨師,帝女,風伯,女魃,青衣,冀州,逐",大荒北經
應龍,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,叔均,田祖,雨師,帝女,風伯,女魃,青衣,冀州,逐",大荒北經
雨師,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,叔均,田祖,應龍,帝女,風伯,女魃,青衣,冀州,逐",大荒北經
帝女,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,叔均,田祖,應龍,雨師,風伯,女魃,青衣,冀州,逐",大荒北經
風伯,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,叔均,田祖,應龍,雨師,帝女,女魃,青衣,冀州,逐",大荒北經
女魃,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,叔均,田祖,應龍,雨師,帝女,風伯,青衣,冀州,逐",大荒北經
青衣,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,叔均,田祖,應龍,雨師,帝女,風伯,女魃,冀州,逐",大荒北經
冀州,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,叔均,田祖,應龍,雨師,帝女,風伯,女魃,青衣,逐",大荒北經
逐,有係昆之山者，有共工之臺，射者不敢北嚮。有人衣青衣，名曰黃帝女魃。蚩尤作兵伐黃帝，黃帝乃令應龍攻之冀州之野。應龍畜水，蚩尤請風伯、雨師，縱大風雨。黃帝乃下天女曰魃。雨止，遂殺蚩尤。魃不得復上，所居不雨。叔均言之帝，後置之赤水之北，叔均乃為田祖。魃時亡之。所欲逐之者，令曰：「神北行！」先除水道，決通溝瀆。,"係昆之山,共工之臺,赤水,蚩尤,叔均,田祖,應龍,雨師,帝女,風伯,女魃,青衣,冀州",大荒北經
赤水女子獻,有鍾山者。有女子衣青衣，名曰赤水女子獻。,"青衣,鍾山",大荒北經
青衣,有鍾山者。有女子衣青衣，名曰赤水女子獻。,"赤水女子獻,鍾山",大荒北經
鍾山,有鍾山者。有女子衣青衣，名曰赤水女子獻。,"赤水女子獻,青衣",大荒北經
戎宣王尸,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"融父山,白犬,苗龍,弄明,犬戎,融吾,順水,帝,馬",大荒北經
融父山,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"戎宣王尸,白犬,苗龍,弄明,犬戎,融吾,順水,帝,馬",大荒北經
白犬,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"戎宣王尸,融父山,苗龍,弄明,犬戎,融吾,順水,帝,馬",大荒北經
苗龍,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"戎宣王尸,融父山,白犬,弄明,犬戎,融吾,順水,帝,馬",大荒北經
弄明,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"戎宣王尸,融父山,白犬,苗龍,犬戎,融吾,順水,帝,馬",大荒北經
犬戎,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"戎宣王尸,融父山,白犬,苗龍,弄明,融吾,順水,帝,馬",大荒北經
融吾,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"戎宣王尸,融父山,白犬,苗龍,弄明,犬戎,順水,帝,馬",大荒北經
順水,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"戎宣王尸,融父山,白犬,苗龍,弄明,犬戎,融吾,帝,馬",大荒北經
帝,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"戎宣王尸,融父山,白犬,苗龍,弄明,犬戎,融吾,順水,馬",大荒北經
馬,大荒之中，有山名曰融父山，順水入焉。有人名曰犬戎。黃帝生苗龍，苗龍生融吾，融吾生弄明，弄明生白犬，白犬有牝牡，是為犬戎，肉食。有赤獸，馬狀無首，名曰戎宣王尸。,"戎宣王尸,融父山,白犬,苗龍,弄明,犬戎,融吾,順水,帝",大荒北經
齊州之山,有山名曰齊州之山、君山、鬵山、鮮野山、魚山。,"鮮野山,魚山,鬵山,君山",大荒北經
鮮野山,有山名曰齊州之山、君山、鬵山、鮮野山、魚山。,"齊州之山,魚山,鬵山,君山",大荒北經
魚山,有山名曰齊州之山、君山、鬵山、鮮野山、魚山。,"齊州之山,鮮野山,鬵山,君山",大荒北經
鬵山,有山名曰齊州之山、君山、鬵山、鮮野山、魚山。,"齊州之山,鮮野山,魚山,君山",大荒北經
君山,有山名曰齊州之山、君山、鬵山、鮮野山、魚山。,"齊州之山,鮮野山,魚山,鬵山",大荒北經
少昊之子,有人一目，當面中生，一曰是威姓，少昊之子，食黍。,黍,大荒北經
黍,有人一目，當面中生，一曰是威姓，少昊之子，食黍。,少昊之子,大荒北經
繼無民,有繼無民，繼無民任姓，無骨子，食氣、魚。,無骨,大荒北經
無骨,有繼無民，繼無民任姓，無骨子，食氣、魚。,繼無民,大荒北經
北海,西北海外，流沙之東，有國曰中䡢，顓頊之子，食黍。,"流沙,黍",大荒北經
流沙,西北海外，流沙之東，有國曰中䡢，顓頊之子，食黍。,"北海,黍",大荒北經
黍,西北海外，流沙之東，有國曰中䡢，顓頊之子，食黍。,"北海,流沙",大荒北經
驩頭,西北海外，黑水之北，有人有翼，名曰苗民。顓頊生驩頭，驩頭生苗民，苗民百姓，食肉。有山名曰章山。,"苗民,章山,北海",大荒北經
苗民,西北海外，黑水之北，有人有翼，名曰苗民。顓頊生驩頭，驩頭生苗民，苗民百姓，食肉。有山名曰章山。,"驩頭,章山,北海",大荒北經
