名字,原文行,相关人物,章节,关系,名字（拼音）,相关人物（拼音）
勝,西海之南，流沙之濱，赤水之後，黑水之前，有大山，名曰崑崙之丘。有神，人面虎身，有文有尾，皆白，處之。其下有弱水之淵環之，其外有炎火之山，投物輒然。有人戴勝，虎齒，有豹尾，穴處，名曰西王母。此山萬物盡有。,"炎火之山,弱水之淵,西王母,赤水,大山,崑崙,西海,流沙,豹,虎,環,投",大荒西經,"无关,无关,戴,无关,无关,无关,无关,无关,有,戴,戴,无关",sheng（勝）,"yanhuozhishan（炎火之山）,ruoshuizhiyuan（弱水之淵）,xiwangmu（西王母）,chishui（赤水）,dashan（大山）,kunlun（崑崙）,xihai（西海）,liusha（流沙）,bao（豹）,hu（虎）,huan（環）,tou（投）"
投,西海之南，流沙之濱，赤水之後，黑水之前，有大山，名曰崑崙之丘。有神，人面虎身，有文有尾，皆白，處之。其下有弱水之淵環之，其外有炎火之山，投物輒然。有人戴勝，虎齒，有豹尾，穴處，名曰西王母。此山萬物盡有。,"炎火之山,弱水之淵,西王母,赤水,大山,崑崙,西海,流沙,豹,虎,環,勝",大荒西經,"无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关",tou（投）,"yanhuozhishan（炎火之山）,ruoshuizhiyuan（弱水之淵）,xiwangmu（西王母）,chishui（赤水）,dashan（大山）,kunlun（崑崙）,xihai（西海）,liusha（流沙）,bao（豹）,hu（虎）,huan（環）,sheng（勝）"
寒荒之國,有寒荒之國。有二人女祭、女薎。,"女祭,女薎",大荒西經,"包含,包含",hanhuangzhiguo（寒荒之國）,"nvji（女祭）,nvmie（女薎）"
女祭,有寒荒之國。有二人女祭、女薎。,"寒荒之國,女薎",大荒西經,"属于,并列",nvji（女祭）,"hanhuangzhiguo（寒荒之國）,nvmie（女薎）"
女薎,有寒荒之國。有二人女祭、女薎。,"寒荒之國,女祭",大荒西經,"属于,并列",nvmie（女薎）,"hanhuangzhiguo（寒荒之國）,nvji（女祭）"
壽麻之國,有壽麻之國。南岳娶州山女，名曰女虔。女虔生季格，季格生壽麻。壽麻正立無景，疾呼無嚮。爰有大暑，不可以往。,"州山,季格,女虔,南岳,大暑",大荒西經,"无关,无关,无关,无关,存在",shoumazhiguo（壽麻之國）,"zhoushan（州山）,jige（季格）,nvqian（女虔）,nanyue（南岳）,dashu（大暑）"
州山,有壽麻之國。南岳娶州山女，名曰女虔。女虔生季格，季格生壽麻。壽麻正立無景，疾呼無嚮。爰有大暑，不可以往。,"壽麻之國,季格,女虔,南岳,大暑",大荒西經,"关联,孙,生于,嫁,无关",zhoushan（州山）,"shoumazhiguo（壽麻之國）,jige（季格）,nvqian（女虔）,nanyue（南岳）,dashu（大暑）"
季格,有壽麻之國。南岳娶州山女，名曰女虔。女虔生季格，季格生壽麻。壽麻正立無景，疾呼無嚮。爰有大暑，不可以往。,"壽麻之國,州山,女虔,南岳,大暑",大荒西經,"来自,出生地,生,无关,无关",jige（季格）,"shoumazhiguo（壽麻之國）,zhoushan（州山）,nvqian（女虔）,nanyue（南岳）,dashu（大暑）"
女虔,有壽麻之國。南岳娶州山女，名曰女虔。女虔生季格，季格生壽麻。壽麻正立無景，疾呼無嚮。爰有大暑，不可以往。,"壽麻之國,州山,季格,南岳,大暑",大荒西經,"生,来自,生,嫁,无关",nvqian（女虔）,"shoumazhiguo（壽麻之國）,zhoushan（州山）,jige（季格）,nanyue（南岳）,dashu（大暑）"
南岳,有壽麻之國。南岳娶州山女，名曰女虔。女虔生季格，季格生壽麻。壽麻正立無景，疾呼無嚮。爰有大暑，不可以往。,"壽麻之國,州山,季格,女虔,大暑",大荒西經,"无关,娶,生,娶,无关",nanyue（南岳）,"shoumazhiguo（壽麻之國）,zhoushan（州山）,jige（季格）,nvqian（女虔）,dashu（大暑）"
大暑,有壽麻之國。南岳娶州山女，名曰女虔。女虔生季格，季格生壽麻。壽麻正立無景，疾呼無嚮。爰有大暑，不可以往。,"壽麻之國,州山,季格,女虔,南岳",大荒西經,"存在,无关,无关,无关,无关",dashu（大暑）,"shoumazhiguo（壽麻之國）,zhoushan（州山）,jige（季格）,nvqian（女虔）,nanyue（南岳）"
夏耕之尸,有人無首，操戈盾立，名曰夏耕之尸。故成湯伐夏桀于章山，克之，斬耕厥前。耕既立，無首，走厥咎，乃降于巫山。,"夏桀,成湯,巫山,章山,盾,戈,厥",大荒西經,"被伐,伐,降于,战斗,操,操,斩",xiagengzhishi（夏耕之尸）,"xiajie（夏桀）,chengtang（成湯）,wushan（巫山）,zhangshan（章山）,dun（盾）,ge（戈）,jue（厥）"
夏桀,有人無首，操戈盾立，名曰夏耕之尸。故成湯伐夏桀于章山，克之，斬耕厥前。耕既立，無首，走厥咎，乃降于巫山。,"夏耕之尸,成湯,巫山,章山,盾,戈,厥",大荒西經,"斩杀,伐,降于,战斗,无关,无关,斩",xiajie（夏桀）,"xiagengzhishi（夏耕之尸）,chengtang（成湯）,wushan（巫山）,zhangshan（章山）,dun（盾）,ge（戈）,jue（厥）"
成湯,有人無首，操戈盾立，名曰夏耕之尸。故成湯伐夏桀于章山，克之，斬耕厥前。耕既立，無首，走厥咎，乃降于巫山。,"夏耕之尸,夏桀,巫山,章山,盾,戈,厥",大荒西經,"斩,伐,降于,伐,无关,无关,斩",chengtang（成湯）,"xiagengzhishi（夏耕之尸）,xiajie（夏桀）,wushan（巫山）,zhangshan（章山）,dun（盾）,ge（戈）,jue（厥）"
巫山,有人無首，操戈盾立，名曰夏耕之尸。故成湯伐夏桀于章山，克之，斬耕厥前。耕既立，無首，走厥咎，乃降于巫山。,"夏耕之尸,夏桀,成湯,章山,盾,戈,厥",大荒西經,"降于,降于,降于,降于,无关,无关,降于",wushan（巫山）,"xiagengzhishi（夏耕之尸）,xiajie（夏桀）,chengtang（成湯）,zhangshan（章山）,dun（盾）,ge（戈）,jue（厥）"
章山,有人無首，操戈盾立，名曰夏耕之尸。故成湯伐夏桀于章山，克之，斬耕厥前。耕既立，無首，走厥咎，乃降于巫山。,"夏耕之尸,夏桀,成湯,巫山,盾,戈,厥",大荒西經,"战斗,被伐,伐,降于,无关,无关,斩",zhangshan（章山）,"xiagengzhishi（夏耕之尸）,xiajie（夏桀）,chengtang（成湯）,wushan（巫山）,dun（盾）,ge（戈）,jue（厥）"
盾,有人無首，操戈盾立，名曰夏耕之尸。故成湯伐夏桀于章山，克之，斬耕厥前。耕既立，無首，走厥咎，乃降于巫山。,"夏耕之尸,夏桀,成湯,巫山,章山,戈,厥",大荒西經,"持有,无关,无关,无关,无关,持,无关",dun（盾）,"xiagengzhishi（夏耕之尸）,xiajie（夏桀）,chengtang（成湯）,wushan（巫山）,zhangshan（章山）,ge（戈）,jue（厥）"
戈,有人無首，操戈盾立，名曰夏耕之尸。故成湯伐夏桀于章山，克之，斬耕厥前。耕既立，無首，走厥咎，乃降于巫山。,"夏耕之尸,夏桀,成湯,巫山,章山,盾,厥",大荒西經,"操,无关,无关,无关,无关,操,斩",ge（戈）,"xiagengzhishi（夏耕之尸）,xiajie（夏桀）,chengtang（成湯）,wushan（巫山）,zhangshan（章山）,dun（盾）,jue（厥）"
厥,有人無首，操戈盾立，名曰夏耕之尸。故成湯伐夏桀于章山，克之，斬耕厥前。耕既立，無首，走厥咎，乃降于巫山。,"夏耕之尸,夏桀,成湯,巫山,章山,盾,戈",大荒西經,"斩,斩,斩,走,斩,斩,斩",jue（厥）,"xiagengzhishi（夏耕之尸）,xiajie（夏桀）,chengtang（成湯）,wushan（巫山）,zhangshan（章山）,dun（盾）,ge（戈）"
大荒之山,大荒之中，有山名曰大荒之山，日月所入。有人焉三面，是顓頊之子，三面一臂，三面之人不死，是謂大荒之野。,大荒之野,大荒西經,包含,dahuangzhishan（大荒之山）,dahuangzhiye（大荒之野）
大荒之野,大荒之中，有山名曰大荒之山，日月所入。有人焉三面，是顓頊之子，三面一臂，三面之人不死，是謂大荒之野。,大荒之山,大荒西經,包含,dahuangzhiye（大荒之野）,dahuangzhishan（大荒之山）
天穆之野,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"夏后開,九辯,九歌,九招,赤水,青蛇,南海,流沙,龍",大荒西經,"到访,获得,无关,得到,无关,无关,无关,无关,无关",tianmuzhiye（天穆之野）,"xiahoukai（夏后開）,jiubian（九辯）,jiuge（九歌）,jiuzhao（九招）,chishui（赤水）,qingshe（青蛇）,nanhai（南海）,liusha（流沙）,long（龍）"
夏后開,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"天穆之野,九辯,九歌,九招,赤水,青蛇,南海,流沙,龍",大荒西經,"到达,获得,获得,歌,南,无关,无关,位于,乘",xiahoukai（夏后開）,"tianmuzhiye（天穆之野）,jiubian（九辯）,jiuge（九歌）,jiuzhao（九招）,chishui（赤水）,qingshe（青蛇）,nanhai（南海）,liusha（流沙）,long（龍）"
九辯,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"天穆之野,夏后開,九歌,九招,赤水,青蛇,南海,流沙,龍",大荒西經,"得,获得,并列,无关,无关,无关,无关,无关,无关",jiubian（九辯）,"tianmuzhiye（天穆之野）,xiahoukai（夏后開）,jiuge（九歌）,jiuzhao（九招）,chishui（赤水）,qingshe（青蛇）,nanhai（南海）,liusha（流沙）,long（龍）"
九歌,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"天穆之野,夏后開,九辯,九招,赤水,青蛇,南海,流沙,龍",大荒西經,"来源,获得,并列,包含,无关,无关,无关,无关,无关",jiuge（九歌）,"tianmuzhiye（天穆之野）,xiahoukai（夏后開）,jiubian（九辯）,jiuzhao（九招）,chishui（赤水）,qingshe（青蛇）,nanhai（南海）,liusha（流沙）,long（龍）"
九招,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"天穆之野,夏后開,九辯,九歌,赤水,青蛇,南海,流沙,龍",大荒西經,"演唱,得,无关,无关,无关,无关,无关,无关,无关",jiuzhao（九招）,"tianmuzhiye（天穆之野）,xiahoukai（夏后開）,jiubian（九辯）,jiuge（九歌）,chishui（赤水）,qingshe（青蛇）,nanhai（南海）,liusha（流沙）,long（龍）"
赤水,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"天穆之野,夏后開,九辯,九歌,九招,青蛇,南海,流沙,龍",大荒西經,"南,南,无关,无关,无关,无关,无关,南,无关",chishui（赤水）,"tianmuzhiye（天穆之野）,xiahoukai（夏后開）,jiubian（九辯）,jiuge（九歌）,jiuzhao（九招）,qingshe（青蛇）,nanhai（南海）,liusha（流沙）,long（龍）"
青蛇,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"天穆之野,夏后開,九辯,九歌,九招,赤水,南海,流沙,龍",大荒西經,"无关,无关,无关,无关,无关,无关,无关,无关,无关",qingshe（青蛇）,"tianmuzhiye（天穆之野）,xiahoukai（夏后開）,jiubian（九辯）,jiuge（九歌）,jiuzhao（九招）,chishui（赤水）,nanhai（南海）,liusha（流沙）,long（龍）"
南海,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"天穆之野,夏后開,九辯,九歌,九招,赤水,青蛇,流沙,龍",大荒西經,"无关,无关,无关,无关,无关,无关,无关,无关,无关",nanhai（南海）,"tianmuzhiye（天穆之野）,xiahoukai（夏后開）,jiubian（九辯）,jiuge（九歌）,jiuzhao（九招）,chishui（赤水）,qingshe（青蛇）,liusha（流沙）,long（龍）"
流沙,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"天穆之野,夏后開,九辯,九歌,九招,赤水,青蛇,南海,龍",大荒西經,"位于,无关,无关,无关,无关,无关,无关,无关,无关",liusha（流沙）,"tianmuzhiye（天穆之野）,xiahoukai（夏后開）,jiubian（九辯）,jiuge（九歌）,jiuzhao（九招）,chishui（赤水）,qingshe（青蛇）,nanhai（南海）,long（龍）"
龍,西南海之外，赤水之南，流沙之西，有人珥兩青蛇，乘兩龍，名曰夏后開。開上三嬪于天，得九辯與九歌以下。此天穆之野，高二千仞，開焉得始歌九招。,"天穆之野,夏后開,九辯,九歌,九招,赤水,青蛇,南海,流沙",大荒西經,"乘,乘,无关,无关,无关,乘,无关,无关,无关",long（龍）,"tianmuzhiye（天穆之野）,xiahoukai（夏后開）,jiubian（九辯）,jiuge（九歌）,jiuzhao（九招）,chishui（赤水）,qingshe（青蛇）,nanhai（南海）,liusha（流沙）"
互人之國,有互人之國。炎帝之孫，名曰靈恝，靈恝生互人，是能上下于天。,"靈恝,炎帝",大荒西經,"生,无关",hurenzhiguo（互人之國）,"lingjia（靈恝）,yandi（炎帝）"
靈恝,有互人之國。炎帝之孫，名曰靈恝，靈恝生互人，是能上下于天。,"互人之國,炎帝",大荒西經,"生,孙",lingjia（靈恝）,"hurenzhiguo（互人之國）,yandi（炎帝）"
炎帝,有互人之國。炎帝之孫，名曰靈恝，靈恝生互人，是能上下于天。,"互人之國,靈恝",大荒西經,"无关,孙",yandi（炎帝）,"hurenzhiguo（互人之國）,lingjia（靈恝）"
魚婦,有魚偏枯，名曰魚婦。顓頊死即復蘇。風道北來，天乃大水泉，蛇乃化為魚，是謂魚婦。顓頊死即復蘇。,"蛇,蘇,風",大荒西經,"转化,无关,转化",yufu（魚婦）,"she（蛇）,su（蘇）,feng（風）"
蛇,有魚偏枯，名曰魚婦。顓頊死即復蘇。風道北來，天乃大水泉，蛇乃化為魚，是謂魚婦。顓頊死即復蘇。,"魚婦,蘇,風",大荒西經,"化为,无关,无关",she（蛇）,"yufu（魚婦）,su（蘇）,feng（風）"
蘇,有魚偏枯，名曰魚婦。顓頊死即復蘇。風道北來，天乃大水泉，蛇乃化為魚，是謂魚婦。顓頊死即復蘇。,"魚婦,蛇,風",大荒西經,"无关,无关,无关",su（蘇）,"yufu（魚婦）,she（蛇）,feng（風）"
風,有魚偏枯，名曰魚婦。顓頊死即復蘇。風道北來，天乃大水泉，蛇乃化為魚，是謂魚婦。顓頊死即復蘇。,"魚婦,蛇,蘇",大荒西經,"转化,转化,无关",feng（風）,"yufu（魚婦）,she（蛇）,su（蘇）"
𪇆鳥,有青鳥，身黃，赤足，六首，名曰𪇆鳥。,青鳥,大荒西經,是,chuniao（𪇆鳥）,qingniao（青鳥）
青鳥,有青鳥，身黃，赤足，六首，名曰𪇆鳥。,𪇆鳥,大荒西經,是,qingniao（青鳥）,chuniao（𪇆鳥）
常羊之山,有大巫山。有金之山。西南，大荒之中隅，有徧勾、常羊之山。,"大巫山,金之山,徧勾",大荒西經,"无关,无关,无关",changyangzhishan（常羊之山）,"dawushan（大巫山）,jinzhishan（金之山）,biangou（徧勾）"
大巫山,有大巫山。有金之山。西南，大荒之中隅，有徧勾、常羊之山。,"常羊之山,金之山,徧勾",大荒西經,"无关,无关,无关",dawushan（大巫山）,"changyangzhishan（常羊之山）,jinzhishan（金之山）,biangou（徧勾）"
金之山,有大巫山。有金之山。西南，大荒之中隅，有徧勾、常羊之山。,"常羊之山,大巫山,徧勾",大荒西經,"无关,无关,无关",jinzhishan（金之山）,"changyangzhishan（常羊之山）,dawushan（大巫山）,biangou（徧勾）"
徧勾,有大巫山。有金之山。西南，大荒之中隅，有徧勾、常羊之山。,"常羊之山,大巫山,金之山",大荒西經,"位于,无关,无关",biangou（徧勾）,"changyangzhishan（常羊之山）,dawushan（大巫山）,jinzhishan（金之山）"
夏后開,按：夏后開即啟，避漢景帝諱云。,帝,大荒西經,无关,xiahoukai（夏后開）,di（帝）
帝,按：夏后開即啟，避漢景帝諱云。,夏后開,大荒西經,无关,di（帝）,xiahoukai（夏后開）
鱅鱅之魚,《東山經》之首，曰樕𧑤之山，北臨乾昧。食水出焉，而東北流注于海。其中多鱅鱅之魚，其狀如犂牛，其音如彘鳴。,"樕𧑤之山,犂牛,乾昧,食水,彘",東山經,"存在,状如,无关,生活在,无关",yongyongzhiyu（鱅鱅之魚）,"suzhuzhishan（樕𧑤之山）,liniu（犂牛）,qianmei（乾昧）,shishui（食水）,zhi（彘）"
樕𧑤之山,《東山經》之首，曰樕𧑤之山，北臨乾昧。食水出焉，而東北流注于海。其中多鱅鱅之魚，其狀如犂牛，其音如彘鳴。,"鱅鱅之魚,犂牛,乾昧,食水,彘",東山經,"存在,无关,临,出,无关",suzhuzhishan（樕𧑤之山）,"yongyongzhiyu（鱅鱅之魚）,liniu（犂牛）,qianmei（乾昧）,shishui（食水）,zhi（彘）"
犂牛,《東山經》之首，曰樕𧑤之山，北臨乾昧。食水出焉，而東北流注于海。其中多鱅鱅之魚，其狀如犂牛，其音如彘鳴。,"鱅鱅之魚,樕𧑤之山,乾昧,食水,彘",東山經,"相似,无关,无关,无关,无关",liniu（犂牛）,"yongyongzhiyu（鱅鱅之魚）,suzhuzhishan（樕𧑤之山）,qianmei（乾昧）,shishui（食水）,zhi（彘）"
乾昧,《東山經》之首，曰樕𧑤之山，北臨乾昧。食水出焉，而東北流注于海。其中多鱅鱅之魚，其狀如犂牛，其音如彘鳴。,"鱅鱅之魚,樕𧑤之山,犂牛,食水,彘",東山經,"无关,临,无关,临,无关",qianmei（乾昧）,"yongyongzhiyu（鱅鱅之魚）,suzhuzhishan（樕𧑤之山）,liniu（犂牛）,shishui（食水）,zhi（彘）"
食水,《東山經》之首，曰樕𧑤之山，北臨乾昧。食水出焉，而東北流注于海。其中多鱅鱅之魚，其狀如犂牛，其音如彘鳴。,"鱅鱅之魚,樕𧑤之山,犂牛,乾昧,彘",東山經,"包含,出,无关,临,无关",shishui（食水）,"yongyongzhiyu（鱅鱅之魚）,suzhuzhishan（樕𧑤之山）,liniu（犂牛）,qianmei（乾昧）,zhi（彘）"
彘,《東山經》之首，曰樕𧑤之山，北臨乾昧。食水出焉，而東北流注于海。其中多鱅鱅之魚，其狀如犂牛，其音如彘鳴。,"鱅鱅之魚,樕𧑤之山,犂牛,乾昧,食水",東山經,"无关,无关,无关,无关,无关",zhi（彘）,"yongyongzhiyu（鱅鱅之魚）,suzhuzhishan（樕𧑤之山）,liniu（犂牛）,qianmei（乾昧）,shishui（食水）"
活師,又南三百里，曰藟山，其上有玉，其下有金。湖水出焉，東流注于食水，其中多活師。,"藟山,湖水,食水,玉,金",東山經,"存在,居住,居住,无关,无关",huoshi（活師）,"leishan（藟山）,hushui（湖水）,shishui（食水）,yu（玉）,jin（金）"
藟山,又南三百里，曰藟山，其上有玉，其下有金。湖水出焉，東流注于食水，其中多活師。,"活師,湖水,食水,玉,金",東山經,"包含,流出,流注,有,存在",leishan（藟山）,"huoshi（活師）,hushui（湖水）,shishui（食水）,yu（玉）,jin（金）"
湖水,又南三百里，曰藟山，其上有玉，其下有金。湖水出焉，東流注于食水，其中多活師。,"活師,藟山,食水,玉,金",東山經,"包含,出,注入,无关,无关",hushui（湖水）,"huoshi（活師）,leishan（藟山）,shishui（食水）,yu（玉）,jin（金）"
食水,又南三百里，曰藟山，其上有玉，其下有金。湖水出焉，東流注于食水，其中多活師。,"活師,藟山,湖水,玉,金",東山經,"包含,流注,流入,无关,无关",shishui（食水）,"huoshi（活師）,leishan（藟山）,hushui（湖水）,yu（玉）,jin（金）"
玉,又南三百里，曰藟山，其上有玉，其下有金。湖水出焉，東流注于食水，其中多活師。,"活師,藟山,湖水,食水,金",東山經,"无关,存在,无关,无关,共存",yu（玉）,"huoshi（活師）,leishan（藟山）,hushui（湖水）,shishui（食水）,jin（金）"
金,又南三百里，曰藟山，其上有玉，其下有金。湖水出焉，東流注于食水，其中多活師。,"活師,藟山,湖水,食水,玉",東山經,"无关,存在,无关,无关,共存",jin（金）,"huoshi（活師）,leishan（藟山）,hushui（湖水）,shishui（食水）,yu（玉）"
栒狀之山,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"從從,箴魚,𣲵水,湖水,疫疾,青碧,犬,鼠,鷄,毛,玉,金,石",東山經,"存在,包含,流出,注入,无关,存在,包含,无关,无关,无关,存在,存在,存在",xunzhuangzhishan（栒狀之山）,"congcong（從從）,zhenyu（箴魚）,zhishui（𣲵水）,hushui（湖水）,yiji（疫疾）,qingbi（青碧）,quan（犬）,shu（鼠）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）"
從從,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"栒狀之山,箴魚,𣲵水,湖水,疫疾,青碧,犬,鼠,鷄,毛,玉,金,石",東山經,"居住,无关,无关,无关,无关,无关,像,无关,无关,无关,无关,无关,无关",congcong（從從）,"xunzhuangzhishan（栒狀之山）,zhenyu（箴魚）,zhishui（𣲵水）,hushui（湖水）,yiji（疫疾）,qingbi（青碧）,quan（犬）,shu（鼠）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）"
箴魚,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"栒狀之山,從從,𣲵水,湖水,疫疾,青碧,犬,鼠,鷄,毛,玉,金,石",東山經,"存在,无关,存在于,无关,避免,无关,无关,无关,无关,无关,无关,无关,无关",zhenyu（箴魚）,"xunzhuangzhishan（栒狀之山）,congcong（從從）,zhishui（𣲵水）,hushui（湖水）,yiji（疫疾）,qingbi（青碧）,quan（犬）,shu（鼠）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）"
𣲵水,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"栒狀之山,從從,箴魚,湖水,疫疾,青碧,犬,鼠,鷄,毛,玉,金,石",東山經,"发源,无关,包含,注入,无关,无关,无关,无关,无关,无关,无关,无关,无关",zhishui（𣲵水）,"xunzhuangzhishan（栒狀之山）,congcong（從從）,zhenyu（箴魚）,hushui（湖水）,yiji（疫疾）,qingbi（青碧）,quan（犬）,shu（鼠）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）"
湖水,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"栒狀之山,從從,箴魚,𣲵水,疫疾,青碧,犬,鼠,鷄,毛,玉,金,石",東山經,"流入,无关,包含,流入,无关,无关,无关,无关,无关,无关,无关,无关,无关",hushui（湖水）,"xunzhuangzhishan（栒狀之山）,congcong（從從）,zhenyu（箴魚）,zhishui（𣲵水）,yiji（疫疾）,qingbi（青碧）,quan（犬）,shu（鼠）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）"
疫疾,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"栒狀之山,從從,箴魚,𣲵水,湖水,青碧,犬,鼠,鷄,毛,玉,金,石",東山經,"无关,无关,避免,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关",yiji（疫疾）,"xunzhuangzhishan（栒狀之山）,congcong（從從）,zhenyu（箴魚）,zhishui（𣲵水）,hushui（湖水）,qingbi（青碧）,quan（犬）,shu（鼠）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）"
青碧,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"栒狀之山,從從,箴魚,𣲵水,湖水,疫疾,犬,鼠,鷄,毛,玉,金,石",東山經,"存在,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,包含",qingbi（青碧）,"xunzhuangzhishan（栒狀之山）,congcong（從從）,zhenyu（箴魚）,zhishui（𣲵水）,hushui（湖水）,yiji（疫疾）,quan（犬）,shu（鼠）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）"
犬,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"栒狀之山,從從,箴魚,𣲵水,湖水,疫疾,青碧,鼠,鷄,毛,玉,金,石",東山經,"存在,是,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关",quan（犬）,"xunzhuangzhishan（栒狀之山）,congcong（從從）,zhenyu（箴魚）,zhishui（𣲵水）,hushui（湖水）,yiji（疫疾）,qingbi（青碧）,shu（鼠）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）"
鼠,又南三百里，曰栒狀之山，其上多金玉，其下多青碧石。有獸焉，其狀如犬，六足，其名曰從從，其鳴自詨。有鳥焉，其狀如鷄而鼠毛，其名曰䖪鼠，見則其邑大早。𣲵水出焉，而北流注于湖水。其中多箴魚，其狀如鯈，其喙如箴，食之無疫疾。,"栒狀之山,從從,箴魚,𣲵水,湖水,疫疾,青碧,犬,鷄,毛,玉,金,石",東山經,"无关,无关,无关,无关,无关,无关,无关,无关,有关系：覆盖,有,无关,无关,无关",shu（鼠）,"xunzhuangzhishan（栒狀之山）,congcong（從從）,zhenyu（箴魚）,zhishui（𣲵水）,hushui（湖水）,yiji（疫疾）,qingbi（青碧）,quan（犬）,ji（鷄）,mao（毛）,yu（玉）,jin（金）,shi（石）"
